iata,url
YYB,https://en.wikipedia.org/wiki/North_Bay/Jack_Garland_Airport
GCM,https://en.wikipedia.org/wiki/Owen_Roberts_International_Airport
PBI,https://en.wikipedia.org/wiki/Palm_Beach_International_Airport
PHL,https://en.wikipedia.org/wiki/Philadelphia_International_Airport
BZE,https://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport
POS,https://en.wikipedia.org/wiki/Piarco_International_Airport
PIT,https://en.wikipedia.org/wiki/Pittsburgh_International_Airport
PTP,https://en.wikipedia.org/wiki/Pointe-%C3%A0-Pitre_International_Airport
OPO,https://en.wikipedia.org/wiki/Porto_Airport
SXM,https://en.wikipedia.org/wiki/Princess_Juliana_International_Airport
PLS,https://en.wikipedia.org/wiki/Providenciales_International_Airport
AMM,https://en.wikipedia.org/wiki/Queen_Alia_International_Airport
AUA,https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport
YQB,https://en.wikipedia.org/wiki/Qu%C3%A9bec_City_Jean_Lesage_International_Airport
CTG,https://en.wikipedia.org/wiki/Rafael_N%C3%BA%C3%B1ez_International_Airport
RDU,https://en.wikipedia.org/wiki/Raleigh%E2%80%93Durham_International_Airport
GIG,https://en.wikipedia.org/wiki/Rio_de_Janeiro/Gale%C3%A3o_International_Airport
SKB,https://en.wikipedia.org/wiki/Robert_L._Bradshaw_International_Airport
FCO,https://en.wikipedia.org/wiki/Rome_Fiumicino_Airport
DCA,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport
SMF,https://en.wikipedia.org/wiki/Sacramento_International_Airport
YSJ,https://en.wikipedia.org/wiki/Saint_John_Airport
SLC,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport
AZS,https://en.wikipedia.org/wiki/Saman%C3%A1_El_Catey_International_Airport
SAN,https://en.wikipedia.org/wiki/San_Diego_International_Airport
SFO,https://en.wikipedia.org/wiki/San_Francisco_International_Airport
SRQ,https://en.wikipedia.org/wiki/Sarasota%E2%80%93Bradenton_International_Airport
YAM,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport
RIH,https://en.wikipedia.org/wiki/Scarlett_Mart%C3%ADnez_International_Airport
SEA,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport
PVG,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport
MZO,https://en.wikipedia.org/wiki/Sierra_Maestra_Airport
RSW,https://en.wikipedia.org/wiki/Southwest_Florida_International_Airport
STL,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport
ARN,https://en.wikipedia.org/wiki/Stockholm_Arlanda_Airport
YSB,https://en.wikipedia.org/wiki/Sudbury_Airport
SYD,https://en.wikipedia.org/wiki/Sydney_Airport
GRU,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport
None,https://en.wikipedia.org/wiki/Taiwan_Taoyuan_International_Airport
TPA,https://en.wikipedia.org/wiki/Tampa_International_Airport
YTS,https://en.wikipedia.org/wiki/Timmins_Victor_M._Power_Airport
PTY,https://en.wikipedia.org/wiki/Tocumen_International_Airport
TQO,https://en.wikipedia.org/wiki/Tulum_International_Airport
ANU,https://en.wikipedia.org/wiki/V._C._Bird_International_Airport
VCE,https://en.wikipedia.org/wiki/Venice_Marco_Polo_Airport
None,https://en.wikipedia.org/wiki/Vienna_Airport
CYO,https://en.wikipedia.org/wiki/Vilo_Acu%C3%B1a_Airport
