iata,url
FCA,https://en.wikipedia.org/wiki/Glacier_Park_International_Airport
IWD,https://en.wikipedia.org/wiki/Gogebic%E2%80%93Iron_County_Airport
GTF,https://en.wikipedia.org/wiki/Great_Falls_International_Airport
ROC,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport
GRB,https://en.wikipedia.org/wiki/Green_Bay%E2%80%93Austin_Straubel_International_Airport
LWB,https://en.wikipedia.org/wiki/Greenbrier_Valley_Airport
GSP,https://en.wikipedia.org/wiki/Greenville%E2%80%93Spartanburg_International_Airport
LIR,https://en.wikipedia.org/wiki/Guanacaste_Airport
GUC,https://en.wikipedia.org/wiki/Gunnison%E2%80%93Crested_Butte_Regional_Airport
DOH,https://en.wikipedia.org/wiki/Hamad_International_Airport
HND,https://en.wikipedia.org/wiki/Haneda_Airport
MDT,https://en.wikipedia.org/wiki/Harrisburg_International_Airport
LHR,https://en.wikipedia.org/wiki/Heathrow_Airport
FAR,https://en.wikipedia.org/wiki/Hector_International_Airport
HEL,https://en.wikipedia.org/wiki/Helsinki_Airport
STX,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport
UVF,https://en.wikipedia.org/wiki/Hewanorra_International_Airport
HHH,https://en.wikipedia.org/wiki/Hilton_Head_Airport
HKG,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport
CMX,https://en.wikipedia.org/wiki/Houghton_County_Memorial_Airport
HSV,https://en.wikipedia.org/wiki/Huntsville_International_Airport
IDA,https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport
ICN,https://en.wikipedia.org/wiki/Incheon_International_Airport
IND,https://en.wikipedia.org/wiki/Indianapolis_International_Airport
DEL,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport
IST,https://en.wikipedia.org/wiki/Istanbul_Airport
ZIH,https://en.wikipedia.org/wiki/Ixtapa-Zihuatanejo_International_Airport
JAC,https://en.wikipedia.org/wiki/Jackson_Hole_Airport
JAX,https://en.wikipedia.org/wiki/Jacksonville_International_Airport
CMH,https://en.wikipedia.org/wiki/John_Glenn_Columbus_International_Airport
JST,https://en.wikipedia.org/wiki/Johnstown%E2%80%93Cambria_County_Airport
JLN,https://en.wikipedia.org/wiki/Joplin_Regional_Airport
BCN,https://en.wikipedia.org/wiki/Josep_Tarradellas_Barcelona%E2%80%93El_Prat_Airport
SJO,https://en.wikipedia.org/wiki/Juan_Santamar%C3%ADa_International_Airport
AZO,https://en.wikipedia.org/wiki/Kalamazoo/Battle_Creek_International_Airport
KEF,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport
EYW,https://en.wikipedia.org/wiki/Key_West_International_Airport
IRK,https://en.wikipedia.org/wiki/Kirksville_Regional_Airport
KOA,https://en.wikipedia.org/wiki/Kona_International_Airport
KRK,https://en.wikipedia.org/wiki/Krak%C3%B3w_John_Paul_II_International_Airport
GUA,https://en.wikipedia.org/wiki/La_Aurora_International_Airport
LSE,https://en.wikipedia.org/wiki/La_Crosse_Regional_Airport
LGA,https://en.wikipedia.org/wiki/LaGuardia_Airport
ABE,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport
LNK,https://en.wikipedia.org/wiki/Lincoln_Airport_(Nebraska)
LIS,https://en.wikipedia.org/wiki/Lisbon_Airport
BOS,https://en.wikipedia.org/wiki/Logan_International_Airport
MSY,https://en.wikipedia.org/wiki/Louis_Armstrong_New_Orleans_International_Airport
SDF,https://en.wikipedia.org/wiki/Louisville_Muhammad_Ali_International_Airport
SJU,https://en.wikipedia.org/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport
NAS,https://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport
MBS,https://en.wikipedia.org/wiki/MBS_International_Airport
MAD,https://en.wikipedia.org/wiki/Madrid%E2%80%93Barajas_Airport
MHT,https://en.wikipedia.org/wiki/Manchester%E2%80%93Boston_Regional_Airport
MHK,https://en.wikipedia.org/wiki/Manhattan_Regional_Airport
MBL,https://en.wikipedia.org/wiki/Manistee_County_Blacker_Airport
MVY,https://en.wikipedia.org/wiki/Martha%27s_Vineyard_Airport
MCW,https://en.wikipedia.org/wiki/Mason_City_Municipal_Airport
TYS,https://en.wikipedia.org/wiki/McGhee_Tyson_Airport
None,https://en.wikipedia.org/wiki/McKellar%E2%80%93Sipes_Regional_Airport
MEM,https://en.wikipedia.org/wiki/Memphis_International_Airport
MIA,https://en.wikipedia.org/wiki/Miami_International_Airport
MXP,https://en.wikipedia.org/wiki/Milan_Malpensa_Airport
MKE,https://en.wikipedia.org/wiki/Milwaukee_Mitchell_International_Airport
None,https://en.wikipedia.org/wiki/Missoula_International_Airport
MTJ,https://en.wikipedia.org/wiki/Montrose_Regional_Airport
MGW,https://en.wikipedia.org/wiki/Morgantown_Municipal_Airport
MUC,https://en.wikipedia.org/wiki/Munich_Airport
MKG,https://en.wikipedia.org/wiki/Muskegon_County_Airport
MYR,https://en.wikipedia.org/wiki/Myrtle_Beach_International_Airport
ACK,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport
NAP,https://en.wikipedia.org/wiki/Naples_International_Airport
NRT,https://en.wikipedia.org/wiki/Narita_International_Airport
ORF,https://en.wikipedia.org/wiki/Norfolk_International_Airport
XNA,https://en.wikipedia.org/wiki/Northwest_Arkansas_National_Airport
ECP,https://en.wikipedia.org/wiki/Northwest_Florida_Beaches_International_Airport
ONT,https://en.wikipedia.org/wiki/Ontario_International_Airport
GCM,https://en.wikipedia.org/wiki/Owen_Roberts_International_Airport
OWB,https://en.wikipedia.org/wiki/Owensboro%E2%80%93Daviess_County_Regional_Airport
PBI,https://en.wikipedia.org/wiki/Palm_Beach_International_Airport
PLN,https://en.wikipedia.org/wiki/Pellston_Regional_Airport
PNS,https://en.wikipedia.org/wiki/Pensacola_International_Airport
PHL,https://en.wikipedia.org/wiki/Philadelphia_International_Airport
BZE,https://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport
GSO,https://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport
PIT,https://en.wikipedia.org/wiki/Pittsburgh_International_Airport
PWM,https://en.wikipedia.org/wiki/Portland_International_Jetport
SXM,https://en.wikipedia.org/wiki/Princess_Juliana_International_Airport
PLS,https://en.wikipedia.org/wiki/Providenciales_International_Airport
PUJ,https://en.wikipedia.org/wiki/Punta_Cana_International_Airport
LAF,https://en.wikipedia.org/wiki/Purdue_University_Airport
MLI,https://en.wikipedia.org/wiki/Quad_Cities_International_Airport
AMM,https://en.wikipedia.org/wiki/Queen_Alia_International_Airport
AUA,https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport
UIN,https://en.wikipedia.org/wiki/Quincy_Regional_Airport
RDU,https://en.wikipedia.org/wiki/Raleigh%E2%80%93Durham_International_Airport
RAP,https://en.wikipedia.org/wiki/Rapid_City_Regional_Airport
RNO,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport
RHI,https://en.wikipedia.org/wiki/Rhinelander%E2%80%93Oneida_County_Airport
PVD,https://en.wikipedia.org/wiki/Rhode_Island_T._F._Green_International_Airport
RIC,https://en.wikipedia.org/wiki/Richmond_International_Airport
ROA,https://en.wikipedia.org/wiki/Roanoke%E2%80%93Blacksburg_Regional_Airport
RST,https://en.wikipedia.org/wiki/Rochester_International_Airport
FCO,https://en.wikipedia.org/wiki/Rome_Fiumicino_Airport
DCA,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport
SLN,https://en.wikipedia.org/wiki/Salina_Regional_Airport
SAT,https://en.wikipedia.org/wiki/San_Antonio_International_Airport
None,https://en.wikipedia.org/wiki/San_Jose_Mineta_International_Airport
None,https://en.wikipedia.org/wiki/Sarasota-Bradenton_International_Airport
SRQ,https://en.wikipedia.org/wiki/Sarasota%E2%80%93Bradenton_International_Airport
SAV,https://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport
None,https://en.wikipedia.org/wiki/Sawyer_International_Airport
None,https://en.wikipedia.org/wiki/Seattle/Tacoma_International_Airport
SNN,https://en.wikipedia.org/wiki/Shannon_Airport
FSD,https://en.wikipedia.org/wiki/Sioux_Falls_Regional_Airport
SUX,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport
SBN,https://en.wikipedia.org/wiki/South_Bend_International_Airport
BRL,https://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport
RSW,https://en.wikipedia.org/wiki/Southwest_Florida_International_Airport
GEG,https://en.wikipedia.org/wiki/Spokane_International_Airport
SGF,https://en.wikipedia.org/wiki/Springfield%E2%80%93Branson_National_Airport
SCE,https://en.wikipedia.org/wiki/State_College_Regional_Airport
SYR,https://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport
GRU,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport
TPA,https://en.wikipedia.org/wiki/Tampa_International_Airport
TPE,https://en.wikipedia.org/wiki/Taoyuan_International_Airport
ANC,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport
PTY,https://en.wikipedia.org/wiki/Tocumen_International_Airport
TUS,https://en.wikipedia.org/wiki/Tucson_International_Airport
TUL,https://en.wikipedia.org/wiki/Tulsa_International_Airport
HVN,https://en.wikipedia.org/wiki/Tweed_New_Haven_Airport
CMI,https://en.wikipedia.org/wiki/University_of_Illinois_Willard_Airport
HRL,https://en.wikipedia.org/wiki/Valley_International_Airport
MWA,https://en.wikipedia.org/wiki/Veterans_Airport_of_Southern_Illinois
None,https://en.wikipedia.org/wiki/Vienna_Airport
WAW,https://en.wikipedia.org/wiki/Warsaw_Chopin_Airport
None,https://en.wikipedia.org/wiki/Washington_Dulles_International_Airport
ALO,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport
ATY,https://en.wikipedia.org/wiki/Watertown_Regional_Airport
TBN,https://en.wikipedia.org/wiki/Waynesville%E2%80%93St._Robert_Regional_Airport
None,https://en.wikipedia.org/wiki/West_Palm_Beach_International_Airport
HPN,https://en.wikipedia.org/wiki/Westchester_County_Airport
ICT,https://en.wikipedia.org/wiki/Wichita_Dwight_D._Eisenhower_National_Airport
AVP,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport
None,https://en.wikipedia.org/wiki/Will_Rogers_World_Airport
ILM,https://en.wikipedia.org/wiki/Wilmington_International_Airport
HDN,https://en.wikipedia.org/wiki/Yampa_Valley_Airport
CRW,https://en.wikipedia.org/wiki/Yeager_Airport
AUH,https://en.wikipedia.org/wiki/Zayed_International_Airport
ZRH,https://en.wikipedia.org/wiki/Zurich_Airport
None,https://en.wikipedia.org/wiki/Winnipeg_Airport
YYR,https://en.wikipedia.org/wiki/CFB_Goose_Bay
ZUM,https://en.wikipedia.org/wiki/Churchill_Falls_Airport
YDF,https://en.wikipedia.org/wiki/Deer_Lake_Regional_Airport
YQX,https://en.wikipedia.org/wiki/Gander_International_Airport
None,https://en.wikipedia.org/wiki/London_Gatwick_Airport
None,https://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport
None,https://en.wikipedia.org/wiki/Ottawa_International_Airport
None,https://en.wikipedia.org/wiki/Saint-Pierre_Airport
YAY,https://en.wikipedia.org/wiki/St._Anthony_Airport
YWK,https://en.wikipedia.org/wiki/Wabush_Airport
FRD,https://en.wikipedia.org/wiki/Friday_Harbor_Airport
None,https://en.wikipedia.org/wiki/Montr%C3%A9al-Trudeau_International_Airport
CNY,https://en.wikipedia.org/wiki/Canyonlands_Regional_Airport
CNM,https://en.wikipedia.org/wiki/Cavern_City_Air_Terminal
STS,https://en.wikipedia.org/wiki/Charles_M._Schulz%E2%80%93Sonoma_County_Airport
CEZ,https://en.wikipedia.org/wiki/Cortez_Municipal_Airport
CUL,https://en.wikipedia.org/wiki/Culiac%C3%A1n_International_Airport
DRO,https://en.wikipedia.org/wiki/Durango%E2%80%93La_Plata_County_Airport
EUG,https://en.wikipedia.org/wiki/Eugene_Airport
FLG,https://en.wikipedia.org/wiki/Flagstaff_Pulliam_Airport
GUP,https://en.wikipedia.org/wiki/Gallup_Municipal_Airport
GJT,https://en.wikipedia.org/wiki/Grand_Junction_Regional_Airport
SVC,https://en.wikipedia.org/wiki/Grant_County_Airport_(New_Mexico)
HMO,https://en.wikipedia.org/wiki/Hermosillo_International_Airport
BUR,https://en.wikipedia.org/wiki/Hollywood_Burbank_Airport
IPL,https://en.wikipedia.org/wiki/Imperial_County_Airport
LIH,https://en.wikipedia.org/wiki/Lihue_Airport
LGB,https://en.wikipedia.org/wiki/Long_Beach_Airport
LTO,https://en.wikipedia.org/wiki/Loreto_International_Airport
None,https://en.wikipedia.org/wiki/Louisville_International_Airport
LBB,https://en.wikipedia.org/wiki/Lubbock_Preston_Smith_International_Airport
CLD,https://en.wikipedia.org/wiki/McClellan%E2%80%93Palomar_Airport
BFL,https://en.wikipedia.org/wiki/Meadows_Field_Airport
MAF,https://en.wikipedia.org/wiki/Midland_International_Air_and_Space_Port
MDW,https://en.wikipedia.org/wiki/Midway_International_Airport
MRY,https://en.wikipedia.org/wiki/Monterey_Regional_Airport
OAK,https://en.wikipedia.org/wiki/Oakland_International_Airport
PGA,https://en.wikipedia.org/wiki/Page_Municipal_Airport
PAE,https://en.wikipedia.org/wiki/Paine_Field
ZLO,https://en.wikipedia.org/wiki/Playa_de_Oro_International_Airport
PVU,https://en.wikipedia.org/wiki/Provo_Municipal_Airport
RDM,https://en.wikipedia.org/wiki/Roberts_Field
MFR,https://en.wikipedia.org/wiki/Rogue_Valley_International%E2%80%93Medford_Airport
SAD,https://en.wikipedia.org/wiki/Safford_Regional_Airport
SBP,https://en.wikipedia.org/wiki/San_Luis_Obispo_County_Regional_Airport
SBA,https://en.wikipedia.org/wiki/Santa_Barbara_Municipal_Airport
SAF,https://en.wikipedia.org/wiki/Santa_Fe_Regional_Airport
