"origin","nb_outlinks","outlinks","weights","nb_airlines"
"KHI","36","ADD AUH BAH BGW BKK CMB DAC DMM DOH DXB GYD IKA ISB IST JED KDU KUL KWI LHE LYP MCT MED MHD MUX NJF PEK PEW RUH SAW SHJ SKT SKZ TUK UET YYZ ZBR","1 1 1 2 1 1 1 2 1 4 1 1 5 1 7 1 2 1 5 2 3 2 2 2 1 1 5 4 1 1 2 1 1 5 1 1","31"
"KHK","5","AWZ BUZ IFN SYZ THR","1 1 2 2 2","2"
"KHM","2","MDL RGN","3 3","3"
"KHN","66","ACX BHY CAN CGQ CKG CSX CTU DLC DLU DMK ENH HAK HET HIA HRB HSN INC JHG JNG JNZ KIX KMG KUL KWE LHW LJG LUM LYA LYG LYI LZO MFM NGB NNG NNY NTG PEK PKX PVG SHA SHE SIN SJW SYX SZX TAO TFU TNA TSN TYN URC UYN WEH WMT WNZ XIY XMN XNN XUZ YCU YNT YNZ YTY ZHA ZUH ZYI","1 1 2 2 5 1 1 4 1 1 1 5 2 2 4 2 2 3 1 1 1 5 1 1 3 2 1 1 1 1 1 1 1 3 1 1 2 3 1 2 3 1 1 2 1 5 6 3 4 4 1 1 1 1 1 3 1 2 1 1 1 1 1 1 5 1","20"
"KHQ","2","JUV NSQ","1 1","1"
"KHS","2","DXB MCT","1 1","1"
"KHT","5","AAN DXB JED KBL KWI","1 1 1 1 1","2"
"KHV","43","BKK BPE BQG BQS CXR DAD DLC DYR EKS GDX HKT HRB HTA IKT JMU KJA KLO MJZ NER NGK NLI OHH OHO OVB PKC PKX PVG SKD SVO SVX SYX TAS TSN TYD UHHY UHNA UTP UUD UUS VVO WEH YKS YNT","1 1 2 1 3 1 2 2 1 2 2 1 2 2 1 3 1 1 2 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 4 4 1 3 1","15"
"KHX","1","EBB","1","1"
"KHZ","1","PPT","1","1"
"KIE","1","RAB","1","1"
"KIF","2","WNN YXL","1 1","1"
"KIH","22","ABD AWZ AZD BGW BND DXB DYU GBT IFN JWN KER KSH MHD NJF OMH PGU RAS SRY SYZ TBZ THR ZAH","2 4 4 2 3 2 1 2 11 1 2 1 13 2 1 2 3 2 12 3 20 1","23"
"KIJ","12","CTS FUK ICN ITM KIX NGO NKM OKD PVG SDJ TPE UKB","2 2 1 4 1 1 1 1 1 1 1 1","10"
"KIK","4","BGW ESB GYD IST","1 1 1 2","2"
"KIM","2","CPT JNB","2 2","2"
"KIN","19","ANU ATL BGI FLL GCM HAV JFK LGW MBJ MIA NAS PLS POS PTY PUJ SCU SDQ SXM YYZ","1 1 2 1 1 1 3 1 2 1 1 2 1 1 1 1 2 1 4","15"
"KIO","2","MAJ NDK","1 1","1"
"KIR","11","ALC BES BVE CFR DUB FAO HHN LTN MAN PUF STN","1 1 1 1 1 1 1 1 1 1 1","2"
"KIS","4","EBB MBA NBO WIL","1 1 2 2","4"
"KIT","1","ATH","2","2"
"KIX","92","AMS ASJ AUH BKI BKK BNE CAN CDG CEB CGQ CJJ CJU CKG CNS CNX CSX CTS CZX DAD DLC DMK DOH DXB FOC FUK GMP GUM HAK HAN HEL HFE HGH HKG HND HNL HRB ICN ISG IST KCZ KHH KHN KIJ KMI KMJ KOJ KUH KUL KWE LAX LYI MFM MMB MMY MNL MUC MWX NGB NGS NKG NRT NTG OKA PEK PKX PUS PVG SDJ SFO SGN SHE SHI SIN SYD SZX TAE TAO TFU TNA TPE TSN UBN URC WNZ WUH WUX XIY XMN YNZ YTY YVR YYZ","1 1 1 1 4 1 2 1 2 1 2 1 2 1 1 2 5 1 1 3 2 1 1 1 2 4 2 1 2 1 2 4 5 4 2 2 11 3 1 1 5 1 1 1 1 1 1 4 2 1 1 1 1 1 3 1 1 1 1 3 2 1 5 2 4 5 9 1 1 2 2 1 3 1 1 1 5 2 1 11 2 1 1 1 2 1 1 2 1 1 1 1","70"
"KIY","6","DAR MFA PMA TGT TZ-0048 ZNZ","1 1 1 1 1 1","1"
"KJA","82","ABA AER ALA BAX BGS BKA BKK BQS BSZ CEK CIT CMB CXR CZR DME DYR DYU EVN FEG GDX GOY GYD HKT HMA HRB HTA HTG IAA IKT KEJ KHV KRR KUF KYZ KZN LBD LED MCX MJZ MRV NER NJC NMA NOZ NSK NUX NZH OLZ OMS OSS OVB PEE PKC PKX PYJ REN RGK SES SGC SKD SVO SVX SYX TAS TGP THX TJM TLK TOF UBN UFA UIKG UIUN ULK UTP UUD UUS UWWW VAQ VEO VKO VVO","1 3 1 1 1 1 1 1 2 1 1 1 3 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 3 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 2 1 1 1 2 2 1 4 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2","21"
"KJB","3","BLR VGA VTZ","1 1 1","1"
"KJH","6","ACX CAN FOC JJN TFU XIY","1 1 1 1 1 1","4"
"KJI","2","KHG URC","1 1","2"
"KJJ","0","","","53"
"KJT","1","SIN","1","1"
"KKA","3","OME SKK UNK","1 1 2","2"
"KKC","4","BKK CNX DMK HKT","3 1 2 1","4"
"KKE","1","AKL","2","2"
"KKH","2","BET WTL","1 1","1"
"KKI","4","AKI BET KWT TLT","1 1 1 1","1"
"KKJ","4","CJJ HND ICN TPE","1 2 1 1","4"
"KKN","13","ALF BJF BVG HEL HFT HVG IVL MEH OSL SOJ TOS VAW VDS","1 1 1 1 1 1 1 1 2 1 2 1 1","4"
"KKW","1","NLO","1","1"
"KKX","2","ASJ KOJ","1 1","1"
"KLF","7","AER KGD KZN LED MRV MSQ SVX","1 1 1 1 1 1 1","3"
"KLG","2","ANI RSH","1 1","1"
"KLH","5","AMD BLR BOM HYD NMI","1 2 1 1 1","2"
"KLL","3","AKN DLG IGG","1 1 1","1"
"KLN","2","ADQ KYK","1 1","1"
"KLO","6","ICN IKT KHV KWL MNL NGB","2 1 1 1 2 1","5"
"KLP","2","BDJ PKY","1 1","1"
"KLR","2","ARN LPA","1 1","2"
"KLU","8","CGN FCO HAJ HAM PAS PMI STN VIE","1 1 1 1 1 1 1 1","5"
"KLV","3","AYT BOJ TAS","1 1 1","3"
"KLW","3","JNU KTN SIT","1 1 1","2"
"KLX","25","AMS ARN ATH BGY BHX BRS BUD CDG DUS EDI FRA GVA HAM HER INN LGW MAN MUC ORY SKG STN TIA TLV VIE ZRH","1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 3 2 2 1 1 1 1 1 2 1","17"
"KMA","5","KRI OPU POM TDS VMU","1 1 1 1 1","1"
"KME","0","","","25"
"KMG","156","BAV BFJ BKK BSD BZX CAN CCU CGD CGK CGO CGQ CIH CKG CMB CNX CSX CTU CWJ CZX DAC DAT DIG DLC DLU DMK DNH DSN DXB DXJ DYG ENH ENY FOC FUG GYS HAK HAN HDG HET HFE HGH HIA HJJ HKG HKT HLD HNY HPH HRB HSN HUZ HYN HZG ICN INC JDZ JGN JGS JHB JHG JIQ JJN JMJ JNG JUZ KHN KNO KOS KOW KTI KTM KUL LCX LFQ LHW LIJ LJG LLF LLV LNJ LPQ LUM LXA LYA LYG LYI LZO MDC MDL MIG MLE NAO NGB NKG NLH NNG NNY NRT NTG PEK PEN PKX PQC PVG RGN RIZ SAI SGN SHA SHE SHS SIN SJW SQD SQJ SWA SYX SZB SZX TAO TCZ TFU TLQ TNA TSN TVS TXN TYN URC UYN VTE WDS WHA WMT WNZ WUH WUT WUX WXN XAI XFN XIY XMN XNN XUZ YBP YCU YIH YIW YNT YNZ YTY ZAT ZHA ZHY ZUH","1 1 4 1 1 7 1 1 2 9 6 1 4 1 2 8 4 1 3 1 1 2 8 1 1 1 1 1 1 1 1 1 5 1 1 6 1 1 3 5 10 2 1 1 2 1 1 2 9 1 2 1 1 2 2 1 1 1 2 2 1 3 2 1 1 5 1 2 1 1 1 3 1 1 7 1 1 1 1 1 2 6 4 1 2 2 1 1 2 1 2 1 5 9 1 1 1 1 1 5 2 6 1 8 3 1 1 3 5 9 1 2 5 1 1 6 3 1 7 8 3 8 2 6 8 1 1 4 5 1 3 1 1 1 5 6 1 4 1 1 1 8 6 4 4 1 2 2 1 1 1 2 1 2 1 4","42"
"KMI","9","FUK HND ICN ITM KIX NGO NRT OKA TPE","2 3 1 3 1 2 2 1 1","10"
"KMJ","14","AXJ HND ICN ITM KHH KIX NGO NKM NRT OKA PUS RMQ TNN TPE","1 3 1 4 2 1 1 1 1 1 1 1 1 2","14"
"KMN","1","FBM","1","1"
"KMO","4","DLG KEK TOG TWA","1 1 1 1","1"
"KMQ","8","CTS FUK HKG HND ICN OKA PVG TPE","1 1 1 2 1 1 1 2","9"
"KMS","2","ACC LGW","2 1","3"
"KMU","2","MGQ NBO","3 1","3"
"KMV","2","MDL RGN","2 2","2"
"KMW","3","GOJ KZN LED","1 1 1","1"
"KND","3","FIH FKI GOM","3 3 2","3"
"KNG","5","FKQ MKW NBX SOQ TIM","1 1 1 1 1","3"
"KNH","6","CYI KHH MZG RMQ TNN TSA","1 2 1 2 1 2","2"
"KNK","1","ILI","1","1"
"KNO","27","BPN BTH BTJ CGK DAD DJB DMK FLZ FSH GNS JED KMG KUL LKI LSW MCT MED MEQ PDG PEN PKU PLM PNK SIN SUB TXE YIA","1 2 2 6 1 1 1 1 1 1 3 1 4 2 1 1 2 1 1 3 2 1 1 3 1 2 1","15"
"KNQ","1","GEA","1","1"
"KNS","6","BWT HBA LST MBW MEB MEL","1 1 1 1 1 1","3"
"KNU","4","BLR BOM DEL HYD","1 1 1 1","1"
"KNW","3","DLG KEK KGK","1 1 1","1"
"KNX","5","BME BQW DRW HCQ PER","1 1 1 1 2","3"
"KOA","20","ANC DEN DFW HNL LAS LAX LIH MUE OGG ORD PDX PHX SAN SEA SFO SJC SLC SMF YVR YYC","1 1 1 2 1 5 1 1 2 1 1 1 1 2 2 2 1 2 2 1","9"
"KOC","2","BMY GEA","1 1","1"
"KOE","17","ABU ARD BJW CGK DPS ENE LBJ LKA LWE MOF RTG RTI SAU SUB TMC UPG WGP","1 1 1 5 2 1 1 1 1 2 1 2 1 1 2 1 1","8"
"KOI","16","ABZ BGO BHD DND EDI EOI GLA INV LHR LSI MAN NDY NRL PPW SOY WRY","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","1"
"KOJ","21","ASJ FSZ FUK HND ICN ITM KIX KKX KUM MYJ NGO NRT OKA OKE PUS PVG RNJ TKN TNE TPE UKB","3 1 1 4 4 3 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1","17"
"KOK","3","AYT HEL KEM","1 1 1","2"
"KOO","3","BKY FMI GOM","1 1 1","1"
"KOP","1","DMK","2","2"
"KOS","11","BKK CAN KMG KUL MFM SAI SGN SZX TFU WUX XMN","1 1 1 2 1 1 1 1 1 1 1","5"
"KOT","2","BET EMK","1 1","1"
"KOU","1","LBV","1","1"
"KOV","3","ALA CIT SCO","2 1 1","2"
"KOW","27","CGO CKG CZX DLC HAK HFE HGH HRB HSN KMG KWE NGB NKG NNG PEK PKX PVG SHA SYX TAO TFU TNA TSN WNZ XIY ZHA ZUH","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1","10"
"KOZ","2","ADQ ORI","1 1","1"
"KPB","1","WFB","1","1"
"KPCW","5","3T7 3W2 3X5 89D CYPT","1 1 1 1 1","1"
"KPN","1","BET","1","1"
"KPO","2","CJU GMP","1 1","1"
"KPV","5","AKN KCG KCL KCQ PTH","1 1 1 1 1","1"
"KPW","3","DYR GDX PWE","1 1 1","2"
"KQA","2","DUT WAS","1 1","2"
"KQH","3","AMD NAG PNQ","1 1 1","2"
"KQR","0","","","21"
"KQT","1","SVO","1","1"
"KRB","5","CNS DMD ISA NTN ONG","1 1 1 1 1","1"
"KRF","2","ARN GEV","1 1","1"
"KRI","5","HGU KMA KUY OPU VMU","1 1 1 1 1","1"
"KRK","135","ABZ ADB AGA AGP ALC AMM AMS AOI ARN ATH AUH AYT BBU BCN BEG BFS BGO BGY BHX BIO BLQ BOH BOJ BRI BRS BRU BSL BUD BVA BZG CAG CDG CDT CFU CHQ CIA CPH CRL CTA DBV DUB DUS DXB EDI EIN EMA ESB EWR FAO FCO FMM FRA FUE GDN GLA GOA GOT GRO GVA HEL HER IST JTR KWI LBA LCA LDE LGW LHR LIS LPA LPL LTN LUX LYS MAD MAN MLA MRS MUC MXP NAP NCE NCL OLB OPO ORD ORY OSL PEG PFO PMI PMO PRG PSA PSR RAK RHO RIX RMF RMI RUH SHJ SKG SNN SOF SPU STN STR SUF SVG SVQ SZY SZZ TFS TGD TIA TLL TLS TLV TRD TRF TRN TRS TSF VAR VCE VIE VLC VNO VRN WAW ZAD ZRH ZTH","1 1 1 2 1 1 2 1 2 2 2 6 2 3 1 3 2 1 3 1 1 1 2 1 2 1 2 2 1 1 1 2 1 2 1 1 3 1 1 1 1 1 1 2 2 2 1 1 1 2 1 1 1 2 2 1 1 1 1 1 2 2 1 1 2 1 1 2 1 1 1 3 2 1 1 2 3 1 1 2 2 1 1 3 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 3 1 1 4 1 1 1 1 1 2 1 2 2 2 1 1 1 1 1","34"
"KRL","30","ACF AKU BPL CGO CKG HGH HMI HTN IQM JGN KHG KRY LHW PEK PKX PVG QSZ RQA SHF SJW TAO TCG TFU TNA TWC URC WUH XIY YIN YTW","1 1 1 6 3 3 1 2 1 1 2 1 2 1 2 1 1 2 1 1 1 1 5 1 1 2 1 3 2 1","16"
"KRN","4","ARN CDG CPH DUS","2 1 1 1","4"
"KRO","4","AER DME LED SGC","1 1 1 1","3"
"KRP","2","CPH PMI","1 1","2"
"KRR","31","AER AYT BUS CEK CIT CXR DME DWC EVN HKT HRG IJK IST KJA KZN LED MCX MRV NMA OVB PEE SGC SKD SSH SVO SVX TAS TBS TLV UFA VKO","1 5 1 2 1 1 2 2 3 1 1 1 3 1 3 4 2 1 1 3 1 1 1 5 2 3 2 2 1 2 2","22"
"KRS","10","ALC AMS BGO BOO CHQ CPH LPA OSL PMI TRD","1 1 1 1 1 1 1 2 1 1","5"
"KRT","34","ADD ADE AHB AMM ASM AUH BAH BEN CAI DAM DMM DOG DOH DXB EBB EBD EGN ELF IST JED JUB KAN KSL MCT MED MJI MWE NBO NDJ PZU RSS RUH UYL WUU","3 1 1 3 2 1 1 2 4 1 2 1 3 3 1 1 2 3 2 6 5 3 1 1 2 1 1 1 3 3 1 6 3 2","21"
"KRW","3","ASB IST MSQ","1 1 1","2"
"KRY","18","AAT AKU CGO HGH HMI INC KCA KHG KRL LHW PEK PVG TFU TLQ URC XIY YIN ZFL","1 1 1 1 1 1 2 2 1 1 1 1 2 1 1 1 2 1","8"
"KSA","6","GUM HNL KWA MAJ PNI TKK","1 1 1 1 2 1","2"
"KSC","18","AGP BOJ BTS DUB FCO HER LCA LPL LTN PMI PRG RHO STN VIE WAW ZAD ZRH ZTH","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","6"
"KSD","5","ARN CPH LPA PMI RHO","1 1 2 1 1","3"
"KSE","1","EBB","1","1"
"KSF","4","BZO GWT HDF PMI","1 1 1 1","3"
"KSH","6","GSM KIH MHD PGU SYZ THR","1 1 4 3 1 9","13"
"KSJ","3","AOK JSH RHO","1 1 1","1"
"KSJX","2","KCVX MCD","1 1","1"
"KSL","2","KRT PZU","1 1","2"
"KSM","5","ANC BET MLL MOU PQS","1 2 1 2 1","3"
"KSN","8","ALA AYT CIT HSA NQZ SSH SVO TAS","1 1 1 1 2 1 1 1","6"
"KSO","2","ATH KZI","1 1","1"
"KSQ","6","DME IST LED TAS VKO ZIA","1 1 1 1 1 1","4"
"KSR","1","UPG","1","1"
"KSU","4","BGO CHQ LPA OSL","1 1 1 1","2"
"KSX","3","AMQ JIO KOE","2 1 1","2"
"KSY","4","ADB ESB IST SAW","1 1 1 2","4"
"KSZ","1","LED","1","1"
"KTA","4","BME GET PER PHE","1 1 5 1","6"
"KTB","1","WFB","3","3"
"KTD","1","OKA","1","1"
"KTF","3","NSN NZKM WLG","1 1 1","1"
"KTG","3","HLP PKN PNK","1 1 1","2"
"KTI","43","AUH BKK CAN CGK CGO CKG CSX CXR DAD DEL DMK DOH DSY DXB FOC GAY HAK HAN HKG ICN IST JJN KMG KUL MFM MNL NNG PEK PEN PQC PVG RGN SAI SGN SIN SYX SZX TFU TPE VTE WUH XIY XMN","1 7 4 1 1 2 2 1 1 1 1 1 2 1 2 1 1 3 3 3 1 1 1 3 2 1 1 1 1 1 2 2 2 4 3 1 4 3 2 2 1 1 1","29"
"KTL","1","WIL","1","1"
"KTM","54","AUH BDP BHP BHR BIR BKK BLR BOM BWA CAN CCU CKG CMB DAC DEL DHI DMK DMM DNP DOH DXB HKG ICN IST JKR KEP KMG KUL KWI LUA LXA MCT NRT PBH PHH PKX PPL PVG RHP RJB RUH RUM SHJ SIF SIN SKH TAO TFU TMI TPJ VNKD VNS VNSL VNTH","1 5 1 1 4 2 2 2 5 2 1 1 1 2 5 3 2 2 1 3 3 2 1 1 3 6 1 4 3 3 1 1 1 2 5 1 3 1 1 2 2 1 1 2 1 1 1 2 3 3 1 1 1 1","35"
"KTN","5","JNU KLW SEA SIT WRG","1 1 1 1 1","2"
"KTR","9","ASP BOX DRW GOV GTE HOK KFG RPM TCA","1 1 1 1 1 1 1 1 1","2"
"KTS","3","OME TLA WAA","1 1 1","1"
"KTT","28","ALF AMS BER BHX BRS BRU CDG CPH DUB DUS EMA FRA GLA HAM HEL LGW MAN MUC MXP NCL ORY OTP RIX RTM TLL TMP VIE ZRH","1 3 1 1 1 1 2 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2","19"
"KTW","86","AAR ADB AGA AGP ALC ATH AUH AYT BAH BDS BJV BKK BLL BOJ BRI BUD BVC CFU CHQ CIY CMB CRL CUN DBV DJE DLM DWC EFL FAO FCO FNC FRA FUE GHV GPA GRO HER HKT HRG HRI KGS LCA LIS LPA MAD MAH MBA MCT MIR MJT MLA MLE MST NBE OHD OPO OSL PFO PMI PMO PMV POP PQC PSA PUY REG RHO RJK RMF RMI RMO SID SKG SSH SUF TBJ TCP TFS TGD TIA TSF VAR VRA ZAD ZNZ ZTH","1 3 2 2 2 1 1 12 1 1 3 1 1 3 1 1 1 2 2 1 1 1 1 3 4 1 1 1 2 1 2 1 2 1 1 2 5 1 9 1 2 2 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 4 1 1 1 1 2 6 1 6 2 1 1 3","22"
"KUA","1","SIN","1","1"
"KUG","3","BDD HID UBB","2 2 2","2"
"KUH","5","CTS HND KIX NRT OKD","1 2 1 1 1","5"
"KUK","2","BET NUP","1 1","1"
"KUL","154","ADD ADL AKL ALA ALG AMD AMM AMS AOR ASB ATQ AUH BAH BAR BDJ BGW BKI BKK BLR BNE BOM BPN BTH BTJ BTU BWN CAN CCU CDG CEB CGK CGO CGQ CKG CMB CNX COK CSX CTS CXR DAC DAD DEL DIL DLI DMK DNH DOH DPS DSN DXB FOC FRA FUK HAK HAN HDY HFE HGH HKG HKT HND HYD ICN IKA ISB IST JED JHB JJN KBR KBV KCH KHH KHI KHN KIX KMG KNO KOS KTI KTM KUA KWE KWL LBJ LBU LGK LGW LHE LHR LHW LOP MAA MCT MED MEL MFM MLE MNL MRU MYY NKG NNG NRT OKA PBH PDG PEK PEN PER PKU PKX PLM PNK PQC PUS PVG RGN RUH SAI SAW SBW SDK SGN SHJ SIN SRG SUB SWA SYD SYX SZX TAO TAS TFU TGG TNA TPE TRV TRZ TWU TXN TYN UPG URC VTE WUH WUX XIY XMN XNN YIA YTY","1 1 1 1 1 2 1 1 3 1 2 1 1 1 1 1 4 3 4 2 2 2 2 3 3 2 6 2 1 2 9 2 1 4 5 2 3 5 1 1 5 4 4 2 1 3 1 2 5 1 2 2 1 1 2 5 1 1 3 5 3 2 2 3 1 1 1 4 4 1 4 2 4 1 2 1 4 3 4 2 3 4 1 2 2 1 2 3 1 1 2 1 3 3 1 2 4 2 4 5 1 3 2 1 4 1 1 2 1 4 3 4 3 2 2 1 1 7 2 1 1 1 3 2 4 1 7 1 3 1 4 1 4 2 3 5 3 1 6 2 2 4 1 1 3 2 1 2 1 2 3 1 2 1","78"
"KUM","3","FUK ITM KOJ","2 1 2","2"
"KUN","30","AGP ALC ARN AYT BFS BGY BOJ BRI BRS CGN CPH CRL DUB EDI GOT HER LPL LTN MAD NAP PFO PMI PSA PSR RHO RMI SNN STN TLV ZAD","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1","5"
"KUO","5","AYT CHQ HEL LPA RHO","2 1 1 1 1","6"
"KUS","3","AGM GOH KEF","1 1 1","2"
"KUT","33","ALA ATH BCN BER BUD BVA CIA CIT CRL DTM FMM GUW HAM HHN KTW LCA LYS MAD MSQ MXP NQZ POZ PRG SAW SCO SKG UGMS VCE VKO VNO WAW WRO ZIA","1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1","9"
"KUU","4","ATQ DED DEL JAI","1 1 1 1","1"
"KUV","1","CJU","2","2"
"KUY","2","AWB KRI","1 1","1"
"KUZ","1","AGM","1","1"
"KVA","18","ATH BEG BER BHX BRQ CGN DUS FRA LGW MAN MUC NUE OTP PRG STN TSR VIE WAW","1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1","9"
"KVC","2","CDB KFP","1 1","1"
"KVG","3","MAS POM RAB","1 1 1","1"
"KVK","5","DME KGD LED SVO VKO","1 1 1 1 1","4"
"KVL","2","OTZ WTK","1 1","2"
"KVM","1","DYR","1","1"
"KVO","3","IST SKG TIV","1 1 1","1"
"KVX","7","AER KGD KZN LED MRV NNM SVO","3 1 1 1 1 1 1","6"
"KWA","2","HNL LIK","1 1","1"
"KWB","2","JOG SRG","1 1","1"
"KWE","106","ACX BAR BKI BKK CAN CDG CGD CGK CGO CGQ CIF CSX CXR CZX DEJ DLC DLU DSN DYG DZH ENH ENY FOC FUG GYS HAK HET HFE HGH HIA HKG HNY HRB HUZ HYN HZA HZG ICN INC IQN JHG JJN JMJ JNG JUH JUZ KHN KIX KOW KUL LHW LIJ LJG LLV LNL LUM LXA LYA LYG LYI MFM MXP MXZ NGB NKG NTG PEK PKX PVG SAI SHA SHE SHS SIN SJW SWA SYX SZX TAO TFU TNA TPE TSN TYN URC UYN WDS WMT WNZ WSK WUH WUT WUX XIC XIY XMN XNN XUZ YCU YIH YIW YNT YNZ YTY ZHA ZUH","3 1 1 2 1 1 1 1 9 4 1 1 2 3 1 6 1 1 1 1 1 1 4 1 1 7 4 9 10 1 1 1 7 2 2 1 1 1 4 1 3 7 1 1 1 1 1 3 1 1 4 1 3 1 1 3 1 1 1 1 1 1 1 8 10 3 2 5 7 1 5 5 1 1 3 2 5 4 5 1 3 1 4 3 2 1 1 1 9 1 6 1 3 1 10 5 1 4 1 2 2 2 2 2 2 1","41"
"KWI","95","AAN ADD ADE ADJ AER AGP AHB AJF ALA AMD AMS ATZ AUH AWZ AYT BAH BCN BEY BGY BJV BKK BLR BOM BUD BUS BWA CAI CAN CCJ CDG CGP CMB CMN CNN COK DAC DAM DEL DME DOH DXB DYU ELQ EVN FEG GOX HBE HMB HRG HSA HYD IFN IKA ISB IST IXE JED JFK JMK KBL KHI KHT KRK KTM LCA LFM LHR LRR LXR MAA MAD MCT MHD MNL MXP NMA PRG PZU RUH RZV SAW SHJ SJJ SKT SLL SPX SYZ TAS TBS TIA TIV TRV TRZ TZX ZRH","1 1 1 1 1 1 2 1 1 2 1 1 1 2 2 1 1 2 1 1 1 3 3 1 1 1 5 1 1 1 1 2 1 1 3 2 2 3 2 1 2 1 1 1 1 1 3 2 1 1 1 1 2 2 3 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 5 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 2 1 3 1","24"
"KWJ","2","CJU GMP","5 1","5"
"KWK","3","BET KKH WTL","2 1 1","2"
"KWL","47","CGO CGQ CKG CZX DLC FOC HAK HFE HGH HIA HKG HRB ICN INC JHG JJN JNG KRL KUL LHW LJG LYI NGB NKG PEK PKX PVG SHE SHS SJW SWA SYX TAO TFU TNA TSN TVS TYN WHA WNZ WUT XIY XMN XUZ YIH YNT YNZ","3 1 1 1 1 1 3 1 2 1 1 1 2 1 2 1 1 1 2 2 1 1 1 3 1 3 4 2 1 2 1 3 1 2 2 2 1 2 1 1 1 4 3 1 1 1 1","21"
"KWM","2","CNS EDR","1 1","1"
"KWN","1","BET","1","1"
"KWT","0","","","24"
"KWY","2","LAU WIL","1 1","1"
"KWZ","2","FBM FIH","1 1","2"
"KXB","1","UPG","1","1"
"KXF","1","SUV","2","2"
"KXK","1","VVO","1","1"
"KXO","2","EBB KJJ","1 1","2"
"KYA","8","ADB AMS ARN CPH DUS IST SAW STR","1 2 1 3 1 1 2 1","4"
"KYB","3","BNE GYB PER","1 2 1","2"
"KYD","1","TTT","1","1"
"KYK","0","","","0"
"KYP","3","AKY RGN SNW","1 1 1","1"
"KYU","3","FAI GAL NUL","1 1 1","1"
"KYZ","5","DME KJA OVB UBN UUD","2 1 1 1 1","3"
"KZI","2","ATH KSO","1 1","1"
"KZN","80","AER ALA ASB ASF AUH AYT BAX BEG BHK BSZ BUS CEE CEK CXR DLM DME DXB DYU EVN FEG GDZ GOJ GRV GYD HMA HRG HRI IAR IKT IST KEJ KGD KJA KLF KQT KRR KVX LBD LED MCX MMK MQF MRV MSQ NAL NJC NNM NOZ NQZ NSK NUX OGZ OMS OSS OVB PEE PES PVG REN RKT RMZ SGC SHJ SKD SKX SLY SSH SVO SVX SYX TAS TBS TJM TOF UFA USK UUD UWWW VKO VOG","4 1 1 1 1 6 1 1 1 2 1 1 2 4 1 1 1 3 2 1 1 1 2 1 1 2 1 1 1 3 1 1 1 1 1 3 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 2 1 3 1 1 6 4 2 1 5 1 1 2 2 1 2 2 1 1","37"
"KZO","3","ALA AYT NQZ","3 1 2","3"
"KZR","2","DUS IST","2 1","3"
"KZS","1","RHO","1","1"
"LAD","0","","","31"
"LAE","11","BUA BUL FIN GKA GUR HKN MAG MAS PNP POM RAB","1 1 1 1 1 2 1 1 1 2 1","3"
"LAF","1","ORD","1","1"
"LAH","2","MDC TTE","1 1","1"
"LAK","1","YEV","1","1"
"LAL","9","ATL BNA DTW GRR HVN ILG ROC SJU USA","1 1 1 1 1 1 1 1 1","1"
"LAN","5","DCA DTW MCO ORD RSW","1 1 1 2 1","4"
"LAO","2","BSO MNL","1 2","3"
"LAP","15","AGU CEN CJS CUL CUU GDL HMO LAX LMM MEX MTY MZT NLU QRO TIJ","1 1 1 1 1 2 1 1 2 3 1 1 2 1 2","7"
"LAQ","1","MJI","2","2"
"LAR","0","","","0"
