"origin","nb_outlinks","outlinks","weights","nb_airlines"
"SNA","55","APC ATL ATW AUS AZA BNA BOI CCR CLT CMH COS CVG DAL DEN DFW DSM DTW EUG EWR GEG GJT GRR IAH IDA JFK LAS MCO MFR MRY MSO MSP MTJ OAK OGD ORD PAE PDX PHX PSC PVR PVU RDU RNO SCF SEA SFO SJC SJD SLC SMF STS TPA TUS YVR YYC","1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 1 1 1 1 2 1 1 3 1 1 2 1 1 1 3 4 1 1 4 1 1 1 1 1 1","13"
"SNB","2","DRW GPN","2 1","2"
"SNE","3","RAI SID VXE","1 1 1","1"
"SNN","39","ACE AGP ALC BHX BOS BUD BZR CDG CFU CIA EDI EWR FAO FNC FRA FUE GRO JFK KRK KUN LGW LHR LPA LPL MAD MAN MLA NAP OPO ORD PMI POZ REU RVN STN TFS TRN WMI WRO","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","5"
"SNO","1","DMK","2","2"
"SNP","4","ANC CDB DUT STG","1 1 1 1","2"
"SNU","5","MIA YHZ YOW YUL YYZ","1 1 1 2 2","3"
"SNV","2","CAJ CGU","1 1","1"
"SNW","6","AKY BSX HEH KYP MDL RGN","2 1 1 1 1 4","4"
"SOC","5","CGK DPS JED MED TIM","4 1 1 1 1","6"
"SOF","96","ADB AGP AHO ALC AMM AMS ATH AUH AYT BCN BEG BER BGY BHX BLQ BOJ BRI BRS BRU BSL BUD BVA CDG CFU CGN CHQ CIA CPH CRL CTA DOH DTM DUB DXB EDI EIN FCO FKB FMM FRA HAM HEL HER HFA HHN HKT IST JSI KRK LCA LGW LHR LIS LPL LTN LYS MAD MAN MLA MUC MXP NAP NCE NCL NUE OPO ORY OSL OTP PFO PMI PMO PRG PSA RAK RHO RIX RMI RMO SAW SDR STN STR SUF TIA TLV TRN VAR VIE VLC WAW WMI WRO ZAD ZAG ZRH","1 2 1 1 1 1 3 1 2 3 1 2 2 2 1 1 2 1 1 1 1 2 1 2 1 1 2 1 2 1 2 1 2 1 1 2 2 1 2 2 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 1 3 2 1 2 1 2 1 1 1 1 2 1 1 1 3 2 2 1 1 1 1 1 1 1 1 1 1 2 1 6 2 1 2 2 1 2 1 1 1 2","31"
"SOG","4","BGO HOV OSL SDN","1 1 1 1","1"
"SOJ","6","BVG HFT KKN MEH TOS VDS","1 1 1 1 1 1","1"
"SON","12","BNE HIR LNE LOD MTV MWF NUS SLH SSR VLI WLH ZGU","1 1 1 1 1 1 1 1 1 2 1 1","2"
"SOQ","17","AMQ AYW BIK BXB CGK DJJ DPS FKQ GEB KNG MDC MKW NBX NTI RJM TIM UPG","1 1 1 1 2 2 1 1 1 1 2 2 1 1 1 2 2","7"
"SOU","18","ACI ALC AMS BCN BFS BHD CDG DUB EDI FAO GCI GLA GVA MAN NCL ORY PMI PRO","1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1","6"
"SOV","0","","","26"
"SOW","1","PHX","1","1"
"SOY","2","KOI NDY","1 1","1"
"SPBC","1","IQT","1","1"
"SPBL","0","","","7"
"SPC","24","ACE AGP AMS BCN BER BSL DUS FRA FUE HAM LGW LPA LUX MAD MAN MUC NTE PRG SCQ STN STR TFN TFS ZRH","1 1 2 1 1 1 2 2 1 3 1 2 1 1 2 3 1 1 1 1 1 2 1 1","17"
"SPCM","2","PCL TPP","1 1","1"
"SPD","3","CGP CXB DAC","1 1 4","4"
"SPEE","1","IQT","1","1"
"SPEP","0","","","11"
"SPGP","1","IQT","1","1"
"SPI","3","MCO ORD PGD","1 1 1","3"
"SPN","7","GUM HKG ICN MNL NRT ROP TIQ","1 1 3 1 1 1 1","7"
"SPP","1","LAD","1","1"
"SPPB","0","","","8"
"SPR","4","BZE CUK CZH TZA","1 1 1 1","1"
"SPS","1","DFW","1","1"
"SPSE","0","","","9"
