"iata","icao","latitude","longitude","name","wikipedia_url","outdegree","outdegree_cargo","number_airlines","number_airlines_cargo"
"AGU","MMAS","21.705556","-102.317778","","https://en.wikipedia.org/wiki/Aguascalientes_International_Airport","11","0","6","0"
"AGV","SVAC","9.553333","-69.237500","","https://en.wikipedia.org/wiki/Oswaldo_Guevara_Mujica_Airport","2","0","2","0"
"AGX","VOAT","10.828056","72.178889","","https://en.wikipedia.org/wiki/Agatti_Airport","4","0","3","0"
"AHA","VEAP","22.987250","83.196139","","https://en.wikipedia.org/wiki/Maa_Mahamaya_Airport","4","0","2","0"
"AHB","OEAB","18.240278","42.656667","","https://en.wikipedia.org/wiki/Abha_International_Airport","25","0","12","0"
"AHE","NTHE","-14.428056","-146.256944","","https://en.wikipedia.org/wiki/Ahe_Airport","3","0","1","0"
"AHI","WAPA","-3.333333","128.916667","","https://en.wikipedia.org/wiki/Amahai_Airport","2","0","1","0"
"AHJ","ZUHY","32.529167","102.356944","","https://en.wikipedia.org/wiki/Aba_Hongyuan_Airport","4","0","2","0"
"AHO","LIEA","40.631111","8.288611","","https://en.wikipedia.org/wiki/Alghero–Fertilia_Airport","37","0","8","0"
"AHU","GMTA","35.176944","-3.839444","","https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport","7","0","5","0"
"AIA","KAIA","42.053333","-102.803889","","https://en.wikipedia.org/wiki/Alliance_Municipal_Airport","1","0","1","0"
"AIC","","7.279167","168.825556","","https://en.wikipedia.org/wiki/Airok_Airport","2","0","1","0"
"AIM","","10.216944","169.983333","","https://en.wikipedia.org/wiki/Ailuk_Airport","3","0","1","0"
"AIN","PAWI","70.638056","-159.994722","","https://en.wikipedia.org/wiki/Wainwright_Airport_(Alaska)","2","0","1","0"
"AIP","VIAX","31.433056","75.760556","","https://en.wikipedia.org/wiki/Adampur_Airport","4","0","2","0"
"AIR","SSOU","-10.185556","-59.457778","","https://en.wikipedia.org/wiki/Aripuanã_Airport","2","0","1","0"
"AIT","NCAI","-18.830833","-159.764167","","https://en.wikipedia.org/wiki/Aitutaki_Airport","2","0","1","0"
"AIU","NCAT","-19.967778","-158.120000","","https://en.wikipedia.org/wiki/Enua_Airport","2","0","1","0"
"AJA","LFKJ","41.923889","8.802500","","https://en.wikipedia.org/wiki/Ajaccio_Napoleon_Bonaparte_Airport","30","0","9","0"
"AJF","OESK","29.785000","40.100000","","https://en.wikipedia.org/wiki/Al_Jouf_Airport","8","0","8","0"
"AJI","LTCO","39.654444","43.027222","","https://en.wikipedia.org/wiki/Ağrı_Airport","4","0","3","0"
"AJK","OIHR","34.138056","49.847222","","https://en.wikipedia.org/wiki/Arak_Airport","1","0","1","0"
"AJL","VELP","23.838442","92.620358","","https://en.wikipedia.org/wiki/Lengpui_Airport","8","0","2","0"
"AJR","ESNX","65.590278","19.281944","","https://en.wikipedia.org/wiki/Arvidsjaur_Airport","6","0","4","0"
"AJU","SBAR","-10.985278","-37.073333","","https://en.wikipedia.org/wiki/Santa_Maria_Airport_(Sergipe)","8","0","3","0"
"AKA","ZLAK","32.756944","108.874530","","https://en.wikipedia.org/wiki/Ankang_Fuqiang_Airport","12","0","7","0"
"AKB","PAAK","52.220556","-174.206111","","https://en.wikipedia.org/wiki/Atka_Airport","1","0","1","0"
"AKF","HLKF","24.177778","23.313889","","https://en.wikipedia.org/wiki/Kufra_Airport","2","0","2","0"
"AKI","PFAK","60.902778","-161.230556","","https://en.wikipedia.org/wiki/Akiak_Airport","4","0","1","0"
"AKJ","RJEC","43.670833","142.447500","","https://en.wikipedia.org/wiki/Asahikawa_Airport","3","0","4","0"
"AKK","PAKH","56.938611","-154.182500","","https://en.wikipedia.org/wiki/Akhiok_Airport","2","0","1","0"
"AKL","NZAA","-37.008056","174.791667","","https://en.wikipedia.org/wiki/Auckland_Airport","68","12","27","10"
"AKN","PAKN","58.676389","-156.648611","","https://en.wikipedia.org/wiki/King_Salmon_Airport","15","0","4","0"
"AKP","PAKP","68.133611","-151.743333","","https://en.wikipedia.org/wiki/Anaktuvuk_Pass_Airport","1","0","3","0"
"AKR","DNAK","7.248611","5.301389","","https://en.wikipedia.org/wiki/Akure_Airport","2","0","2","0"
"AKS","AGGA","-8.697778","160.680833","","https://en.wikipedia.org/wiki/Auki_Gwaunaru'u_Airport","3","0","1","0"
"AKU","ZWAK","41.262500","80.291667","","https://en.wikipedia.org/wiki/Aksu_Hongqipo_Airport","34","0","14","0"
"AKV","CYKO","60.818611","-78.148611","","https://en.wikipedia.org/wiki/Akulivik_Airport","7","0","1","0"
"AKW","OIAG","30.744444","49.676944","","https://en.wikipedia.org/wiki/Aghajari_Airport","3","0","1","0"
"AKX","UATT","50.245833","57.206667","","https://en.wikipedia.org/wiki/Aliya_Moldagulova_International_Airport","8","0","7","0"
"AKY","VYSW","20.132778","92.872500","","https://en.wikipedia.org/wiki/Sittwe_Airport","4","0","3","0"
"ALA","UAAA","43.355278","77.044722","","https://en.wikipedia.org/wiki/Almaty_International_Airport","90","9","45","4"
"ALB","KALB","42.749167","-73.801944","","https://en.wikipedia.org/wiki/Albany_International_Airport","27","10","11","3"
"ALC","LEAL","38.282222","-0.558056","","https://en.wikipedia.org/wiki/Alicante-Elche_Miguel_Hernández_Airport","125","0","37","0"
"ALF","ENAT","69.976111","23.371667","","https://en.wikipedia.org/wiki/Alta_Airport","10","0","6","0"
"ALG","DAAG","36.691014","3.215408","","https://en.wikipedia.org/wiki/Houari_Boumediene_Airport","73","3","23","3"
"ALH","YABA","-34.943333","117.808889","","https://en.wikipedia.org/wiki/Albany_Airport_(Western_Australia)","1","0","1","0"
"ALO","KALO","42.556944","-92.400278","","https://en.wikipedia.org/wiki/Waterloo_Regional_Airport","1","0","1","0"
"ALP","OSAP","36.180556","37.224167","","https://en.wikipedia.org/wiki/Aleppo_International_Airport","17","0","14","0"
"ALS","KALS","37.435000","-105.866389","","https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport","2","0","1","0"
"ALW","KALW","46.090000","-118.290000","","https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport","1","4","1","1"
"AMA","KAMA","35.219444","-101.705833","","https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport","7","0","4","0"
"AMD","VAAH","23.077222","72.634722","","https://en.wikipedia.org/wiki/Ahmedabad_Airport","35","3","23","2"
"AMH","HAAM","6.039722","37.590278","","https://en.wikipedia.org/wiki/Arba_Minch_Airport","1","0","1","0"
"AMM","OJAI","31.722500","35.993333","","https://en.wikipedia.org/wiki/Queen_Alia_International_Airport","101","10","37","5"
"AMQ","WAPP","-3.710264","128.089136","","https://en.wikipedia.org/wiki/Pattimura_Airport","16","0","7","0"
"AMS","EHAM","52.300000","4.765000","","https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol","289","0","79","0"
"AMV","ULDD","69.763333","61.563333","","https://en.wikipedia.org/wiki/Amderma_Airport","1","0","1","0"
"ANC","PANC","61.174167","-149.998333","","https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport","53","20","16","8"
"ANF","SCFA","-23.444444","-70.445000","","https://en.wikipedia.org/wiki/Andrés_Sabella_Gálvez_International_Airport","5","0","3","0"
"ANI","PANI","61.581667","-159.543056","","https://en.wikipedia.org/wiki/Aniak_Airport","13","1","1","2"
"ANR","EBAW","51.189444","4.460278","","https://en.wikipedia.org/wiki/Antwerp_International_Airport","5","0","2","0"
"ANS","SPHY","-13.708333","-73.351389","","https://en.wikipedia.org/wiki/Andahuaylas_Airport","1","0","1","0"
"ANU","TAPA","17.136667","-61.793056","","https://en.wikipedia.org/wiki/V._C._Bird_International_Airport","37","0","25","0"
"ANV","PANV","62.646667","-160.190556","","https://en.wikipedia.org/wiki/Anvik_Airport","3","0","1","0"
"ANX","ENAN","69.292500","16.144167","","https://en.wikipedia.org/wiki/Andøya_Airport,_Andenes","5","0","2","0"
"AOE","LTBY","39.810000","30.519444","","https://en.wikipedia.org/wiki/Anadolu_Airport","2","0","3","0"
"AOG","ZYAS","41.104722","122.855833","","https://en.wikipedia.org/wiki/Anshan_Teng'ao_Airport","3","0","3","0"
"AOI","LIPY","43.616111","13.362222","","https://en.wikipedia.org/wiki/Marche_Airport","14","5","5","3"
"AOJ","RJSA","40.733333","140.688611","","https://en.wikipedia.org/wiki/Aomori_Airport","7","0","6","0"
"AOK","LGKP","35.420556","27.146667","","https://en.wikipedia.org/wiki/Karpathos_Island_National_Airport","23","0","14","0"
