"origin","nb_outlinks","outlinks"
"ALB","21","ATL BWI CHS CLT DCA DEN DFW DTW FLL IAD LGA MCO MIA MYR ORD PGD PHL PIE RDU SRQ USA"
"ALC","74","AES ALG AMS ANR ARN BEG BFS BGO BGY BHX BIO BOD BRE BRS BRU BSL BTS BUD BVA CGN CLJ CMN CRL CWL DUB EDI EIN EMA EVN FAE FCO FRA GCI GDN GLA HAJ HEL IBZ KEF KIR KTW KUN LGW LIL LPA LTN LUX LYS MAD MUC MXP NCL NTE ORN ORY OTP OVD PMI PRG RIX RMO RTM SAW SCQ SOU STN SVG TFN TRF VCE VIE WAW WMI ZRH"
"ALF","10","BVG CHQ FRA HEL HFT KKN KTT OSL TOS VDS"
"ALG","69","AAE ABJ ABV ADD ALC AMM AZR BCN BEY BJA BKO BLJ BOD BRU BSK BSL BUD CAI CAN CBH CDG CFE CFK CZL DJG DLA DOH DSS DXB EBH ELG ELU FCO FRA GHA GJL GVA HME HRG IAM INZ IST JED JNB KUL LGW LHR LIL LIS LYS MAD MED MPL MRS MZW NTE ORY PEK QSF SAW STN SXB TLM TLN TMR TUN VLC VVZ YUL"
"ALH","1","PER"
"ALO","1","ORD"
"ALP","13","ADB AMM AYT COV DOH DXB EVN IST JED KWI OTP SAW SHJ"
"ALS","2","DEN DFW"
"ALW","1","SEA"
"AMA","4","AUS DEN DFW IAH"
"AMD","65","AGR ATQ AUH AYJ BBI BHJ BHO BKK BLR BOM CCU CJB CMB COK DBR DED DEL DIU DMK DOH DXB GAU GOI GOX GWL HAN HDO HYD IDR ISK IXB IXC IXG IXJ IXK IXR JAI JDH JED JGA JLG JSA KLH KQH KUL KWI LGW LKO MAA MHD NAG NDC NJF NMI PAT PNQ PXN RPR SGN SHJ SIN SXR TRV UDR VNS"
"AMM","84","ADB ADD ADE ALG ALP AMS ATH ATZ AUH AYT BAH BCN BEG BEN BER BEY BGW BGY BKK BLQ BOM BSR BUD BUS BVA CAI CDG CIA CRL DAM DME DMM DOH DTW DUS DXB EBL ESB FKB FRA GYD HBE HRG IST ISU JED JFK KRK KUL KWI LCA LHR LYS MAD MCT MED MJI MRA MRS MUC NJF ORD OTP PFO POZ PRG PSA RUH SAH SAW SHJ SJJ SOF SSH STR TBS TIA TSF TUN TZX UFA VIE YYZ ZRH"
"AMQ","15","CGK DOB JIO KSX NAM NBX NDA NRE SOQ SQN SUB SXK TTE UPG WBA"
