"origin","nb_outlinks","outlinks"
"LGB","3","HNL OGG SLC"
"LGD","0",""
"LGG","2","LPA TFS"
"LGI","3","NAS SML ZSA"
"LGK","9","BLR DXB JHB KUL PEN SIN SZB TAS WAW"
"LGL","3","BBN MUR MYY"
"LGS","6","AEP BHI CRD MDZ NQN PMY"
"LGW","146","AAL ABV ABZ ACE ADB ADD AES AGA AGP ALC AMD ANU ARN ASB ATH ATQ AYT BAH BCN BGI BGO BIO BJL BLL BOD BOJ BOS BUD BVC BZO CAG CAN CDG CFU CGN CGO CHQ CMB CMN CPH CPT CUN DLM DOH DUB DXB EBB EBL EDI FAE FAO FLR FNA FNC FRA FUE GCI GEO GOX GVA GYD HEL HER HRG IST IVL JED JFK JMK JTR KAO KEF KGS KLX KRK KUL LCA LIS LOS LPA MAD MCO MLA MRU NAP NBO OLB OPO ORK OSL OTP OVD PEK PFO PMI PMO PRG PRO PUJ PUY PVG PVK RBA REU RHO RIX SAW SCQ SCR SHJ SIN SKG SNN SOF SPU SSH STR SUF SVG SVQ SZG TAO TAS TFS TGD TIA TLL TLS TLV TNG TRD TRN TTU TUN VIE VLC VRN WAW YHZ YOW YUL YYT YYZ ZAD ZRH ZTH"
"LHE","19","BAH BGW BKK CAN CMB DMM DXB GYD ISB IST JED KDU LHR MAN MCT MHD NJF RUH TAS"
"LHG","1","WGE"
"LHN","1","CNF"
"LHR","169","ABV ABZ ADD ALA ALG AMM AMS ANU ARN ATH ATL AUH AUS BAH BCN BDA BEG BER BEY BGI BIO BKK BLL BLR BOG BOM BOS BRU BSL BUD BWI BWN CAI CDG CFU CHQ CKG CLT CMB CMN CPH CPT CSX DAC DEL DEN DFW DMM DND DOH DTW DUB DUS DXB EDI EWR FAO FCO FLR FRA GCI GIG GRU GVA GYD HAK HAM HAN HEL HKG HKT HND IAD IAH ICN IOM ISB IST JED JFK JMK KEF KGL KOI KUL KWI LAS LAX LCA LHE LIS LOS LSI LUX LXR MAA MAD MAN MCO MCT MEL MEX MIA MLA MLE MRS MSP MSY MUC NAP NAS NBO NUE OLB ORD ORK ORY OSL OTP PEK PER PHL PHX PKX PMO PRO PSA PVG PVK RDU RUH SEA SFO SGN SIN SNN SOF SPU STL STR SVQ SYD SZG SZX TAO TAS TBS TFS TFU TIA TLV TOS TPA TPE TSN TUN VIE WAW WUH XIY YHZ YOW YVR YYC YYZ ZAG ZRH ZTH ZYL"
"LHW","85","AAT ACF AKA AKU BKK BPL CAN CGO CGQ CKG CSX CTU DHH DLC DMK DNH DSN DYG ENH ENY FOC FYN HAK HET HGH HIA HNY HTN HZG IQN JGN JHG JIC JJN JUH JUZ KHG KHN KMG KRL KUL KWE KWL LFQ LJG LNL LXA LYA LYG NGO NKG NNG PEK PKX PVG QSZ SHA SHE SHF SIN SJW SWA SYX SZX TAO TEN TFU TNA TSN TYN URC UYN VTE WDS WMT WNZ WUH WUX XMN YIH YIN YTY YZY ZUH ZYI"
"LIF","4","GEA MEE NOU UVE"
"LIG","13","AGP AJA BCN LBA LYS MAH MAN MRS ORY PMI RAK RMA STN"
"LIH","4","PDX SFO SMF YVR"
"LIJ","11","CAN CKG CSX HSN KMG KWE PEK PVG TAO TFU XIY"
"LIL","32","AGA AJA ALC ALG ATH BCN BIA BIQ BJA BOD BRI BSL CFU CIY CLY DBV DSS FEZ HER LPA MIR MPL MRS OPO PMI PMO RHO SPU SVQ TGD VAR VCE"
"LIM","64","AEP AMS ANF ANS AQP ASU ATA ATL AUA AYP AYX BCN BOG BSB CDG CHH CIX CJA COR CTG CUN CUZ EWR EZE FLL GIG GRU GYE HUU IAH IGR IQT JAE JAU JFK JUL LAX LPB MAD MBJ MDZ MEX MIA MVD MZA PCL PEM PIU PTY PUJ SAL SCL SDQ SJO SLA SLC TBP TCQ TPP TRU UIO VVI YUL YYZ"
"LIN","35","AHO AMS AOI ARN BCN BHX BRI BRU CAG CDG CPH DUB DUS EBA FOG FRA FSC HEL IBZ LCY LHR LMP LUX MAD MLA MUC NAP OLB OPO PMI PNL SPU STR TFS VIE"
"LIO","3","BOC SJO TTQ"
"LIQ","2","BMB GMA"
"LIR","30","ATL BOS BWI CLT DEN DFW DTW EWR FLL HOU IAH JFK LAX MIA MSP NOB ORD PHL SFO SJO TMU TNO XQP YOW YUL YVR YWG YYC YYZ ZRH"
"LIS","162","ADB AGA AGP ALC ALG AMS ARN ATH AUH AZS BCN BEG BEL BER BGY BHX BIO BJL BLQ BOD BOS BRS BRU BSB BUD BVA BVC CCS CDG CGN CLJ CMN CNF CPH CRL CUN CWB DJE DOH DSS DUB DUS DXB EDI EIN ESB EWR FAO FCO FLN FLR FNC FOR FRA GIG GLA GRU GVA HAJ HAM HEL HGH HOR IAD IBZ ICN IST JFK KEF KRK LAX LDE LGW LHR LIN LPA LPL LRM LTN LUX LYS MAD MAH MAN MAO MBJ MCO MCZ MIA MIR MLA MPL MPM MRS MRU MUC MXP NAP NAT NBJ NCE NCL NDR NTE OPO ORD ORY OSL OTP OUD OVD OXB PDL PHL PIX PKX PMI PMO POA POZ PRG PSA PUJ PXO RAI RAK REC RIX RMO RTM SFB SFO SID SLZ SMA SOF SSA STN STR SVQ TER TFS TIA TLS TLV TMS TNG TSF TUN VCE VCP VIE VLC VXE WAW WMI WRO YHZ YUL YYZ ZNZ ZRH"
"LIT","18","ATL BNA CLT DAL DCA DEN DFW HOU IAH LGA MCO MIA ORD PHX PIE SFB SLC VPS"
"LIW","4","HEH MDL NYT RGN"
"LIX","2","LLW MFU"
"LJA","1","FIH"
"LJG","50","BKK CAN CGO CKG CSX CTU DZH FOC HAN HFE HGH HIA HJJ HKG INC JHG KHN KMG KWE KWL LHW LUM LXA NGB NKG PEK PKX PVG SGN SHA SHE SWA SZX TFU TNA TSN TYN WNZ WUH WUX XFN XIY XMN YBP YCU YNT YNZ ZAT ZUH ZYI"
"LJU","37","AMS ATH BCN BEG BRU CDG CPH DXB EDI FRA HEL HER HRG INI IST KGS LGW LHR LPA LTN LUX MAD MAN MIR MUC ORY PRN RIX SAW SKP SMI TFS TGD TIV TLV WAW ZRH"
"LKA","1","KOE"
"LKB","1","SUV"
"LKG","3","LOK RBX WIL"
"LKH","2","MUR MYY"
"LKI","2","BTJ KNO"
"LKL","2","OSL TOS"
"LKM","2","GTO MDC"
"LKN","6","BOO OSL RET SKN SVJ TOS"
"LKO","16","AUH BHO BOM DEL DMK DXB HYD JED JRG KQH KUL MCT NMI PNQ RKT RUH"
"LKY","6","ARK DAR HTMR MWZ SEU ZNZ"
"LLA","5","ARN GOT ORY PJA ZRH"
"LLB","2","ACX WMT"
"LLF","3","HAK PKX XIY"
"LLI","4","ADD AXU BJR GDQ"
"LLJ","1","CGK"
"LLK","1","VKO"
"LLM","1","HIR"
"LLO","1","UPG"
"LLU","2","JJU JNN"
"LLV","15","CKG HAK HGH HRB KMG KWE NKG PEK PKX PVG SHE TFU TSN WUH XIY"
"LLW","10","ADD BLZ DAR EBB HRE JNB LIX LUN MFU NBO"
"LMA","1","FAI"
"LMC","2","BOG VVC"
"LML","2","KWA MAJ"
"LMM","10","CSW CUU GDL LAP LTO MEX MTY MXL SJD TIJ"
"LMN","4","BKI KCH LWY MYY"
"LMP","10","BGY BLQ CTA LIN MXP NAP PMO TPS VCE VRN"
"LMT","0",""
"LMU","2","BTH TNJ"
"LMV","0",""
"LMY","2","OBX UNG"
"LNE","2","SON VLI"
"LNJ","4","KMG PKX PVG TFU"
"LNK","5","DEN DFW LAS MCO ORD"
"LNL","10","DNH HAK HGH KWE LHW PKX PVG TAO URC XIY"
"LNO","2","LVO PER"
"LNS","4","IAD MCO ORD PIT"
"LNU","4","BPN LBW LPU TRK"
"LNV","4","CNS KVG POM RAB"
"LNY","3","HNL MKK OGG"
"LNZ","8","ALC AYT BRI FRA HER KGS PMI STN"
"LOD","2","SON VLI"
"LOE","1","DMK"
"LOK","3","EDL LKG WIL"
"LOP","13","BMU BPN BWX CGK DPS KUL SIN SUB SWQ TMC UPG WGP YIA"
"LOS","53","ABB ABJ ABV ADD AKR AMS ATL AUH BEY BGI BJL BNI CAI CBQ CDG CMN COO DAR DLA DNAN DNBK DNBY DOH DSS DXB EBB ENU FIH FNA FRA IAD IBA ILR IST JFK JNB JOS KAD KAN KGL LBV LFW LGW LHR MXP NBJ NBO PHC QOW QRW QUO ROB SSG"
"LPA","71","AES AGA AMS ARN BCN BER BFS BGO BGY BHX BJZ BLE BLL BOH BRS BRU BSL BUD CPH CWL DUS EIN EMA EUN EXT FRA FUE GCI GLA GOT GRQ GVA HAJ INV KLR KRS KSD KTW LBA LCG LEJ LGW LIN LJU LPL LTN MUC MXP NCL NDB NTE OSL OST OTP OVD PIK PRG PSA RTM SDL STR TRD TRF TSF VIE VIT VLC VRN VXO WRO ZRH"
"LPB","12","BOG CBB CIJ CUZ IQQ LIM SCL SRE TDD TJA UYU VVI"
"LPD","1","LET"
"LPF","5","HUZ NKG PEK SZX TEN"
"LPI","3","AMS HEL ORB"
"LPK","5","AAQ AER DME LED SIP"
"LPL","45","AGP ALC AMS AYT BCN BGO BHD BJV CDG CIA DUB FAO GDN GVA HRG IAS IOM KGS KRK KSC LCA LEI LIS MLA NBE NCE ORK OTP PFO PMI POZ PRG RHO RVN SOF SPU SZZ TFS TRN VIE WAW WMI WRO ZAD ZTH"
"LPQ","9","BKK CNX DMK HAK HAN KMG SAI VTE XKH"
"LPT","1","DMK"
"LPU","2","AAP TJS"
"LPY","1","ORY"
"LPZ","2","BGA EOH"
"LQM","1","PUU"
"LRD","4","DFW IAH LAS MTY"
"LRE","3","BNE TSV WIN"
"LRH","9","BRS CRL DUB GVA LYS MAN MRS NCE RAK"
"LRM","10","BHX DUS FCO FRA MAD MIA MXP ORY VRN YUL"
"LRR","5","DOH DXB KWI SHJ THR"
"LRS","5","ATH JKL JTY KGS RHO"
"LRT","1","TLS"
"LRU","1","ABQ"
"LRV","1","CCS"
"LSA","1","GUR"
"LSC","5","ANF ARI CJC IQQ SCL"
"LSE","0",""
"LSH","2","HEH RGN"
"LSI","7","ABZ BHD EDI GLA KOI LHR MAN"
"LSP","2","CCS CUR"
"LSR","1","BTJ"
"LST","10","ADL BNE BWT CBR FLS HBA KNS MEL PER SYD"
"LSW","1","KNO"
"LTD","1","MJI"
"LTI","1","UBN"
"LTK","0",""
"LTM","1","OGL"
"LTN","103","ABZ ACE ADB AGA AGP ALC AMS ATH AYT BBU BCM BCN BEG BHD BIO BJV BOD BOJ BTS BUD BZR CFU CHQ CLJ CND CRA CTA DEB DLM DTM EVN FAO FCO FUE GHV GNB GRO GVA HER HRG IAS IBZ INN INV IOM IST JMK KEF KRK KSC KTW KUN LCA LIS LPA LUZ LYS MAD MAH MXP NAP NCE NOC OLB OPO ORK OTP PMI PMO POZ PRG PRN PSA PUY PVK REU RHO RMO RMU RZE SCV SKP SOF SPU SPX SSH SVQ SZG TAT TBS TFS TIA TIV TLL TLV TOS TRN TSR VCE WAW WRO ZRH ZTH"
"LTO","8","DFW GYM LAX LMM PHX SFO TIJ YYC"
"LTT","6","CUF GVA MCM NCE PMF SIR"
"LUA","3","KTM PPL RHP"
"LUD","1","ERS"
"LUH","0",""
"LUM","22","CAN CKG CSX CZX HGH JHG JMJ KHN KMG KWE LJG MDL NGB NKG PKX PVG RGN SJW SWA TFU WUH WUX"
"LUN","20","ADD CPT DAR DOH DXB EBB GBE HRE IST JNB KAA KGL LLW LVI MFU MNS NBO NLA SLI WDH"
"LUP","2","HNL MKK"
"LUQ","1","AEP"
"LUR","1","OTZ"
"LUV","2","AMQ TIM"
"LUW","4","CGK MDC PLW UPG"
"LUX","77","ADB AJA ALC AMS ATH AUH BCN BDS BER BGY BIA BIO BIQ BLQ BOD BRI BVC CAG CAN CFU CGO CLY CPH CTA DBV DUB DWC FAO FCO FLR FNC FRA FSC GPA GWT HAM HEL HER IBZ IST JMK JTR KGS KRK LCY LHR LIN LIS LPA LXR MAD MAH MAN MLA MRS MUC MXP NAP NCE OPO PMI PMO PRN QSR RAI RHO RMF RMI SID SKG STN SVQ VLC WAW ZAD ZRH ZTH"
"LUZ","10","BGY BOJ DUB FCO GDN LTN MST RJK SPU WAW"
"LVI","6","CPT JNB LUN MQP NBO WDH"
"LVO","2","LNO PER"
"LVP","4","AWZ IFN SYZ THR"
"LWB","2","CLT ORD"
"LWE","1","KOE"
"LWS","2","SEA SLC"
"LWY","4","BKI BKM LMN MYY"
"LXA","46","AHJ BPX CAN CGO CKG CSX CTU CZX DIG DZH GOQ GXH GYS HET HFE HGH HKG KMG KTM KWE LHW LJG LYI LZO MIG NAO NGQ NKG NNG NTG PEK PHH PVG SHA SIN SZX TAO TFU TSN TYN URC WDS WMT WUH XIY XNN"
"LXD","3","FLZ GNS PDG"
"LXG","1","VTE"
"LXR","25","ATH BCN BER BIO BLQ BRU CAI CDG CTA DUS FCO HRG JED KWI LGW LHR LUX MAN MXP ORY SAW SSH VLC VRN ZRH"
"LXS","9","ATH HEL JIK JKH MJT RHO SKG SMI VIE"
"LYA","24","BAV BHY BKK CAN CIF CKG DLC FOC HAK HET HMI HRB KHN KMG KWE NNG PVG SHA SHE SYX SZX TFU URC ZUH"
"LYB","2","CYB GCM"
"LYC","3","AJR ARN HMV"
"LYG","26","CAN CGQ CKG CSX DLC DSN FOC HAK HRB JJN KHN KMG KWE LHW NGB NNG PEK SHE SJW SWA SZX TFU TSN WUH XMN ZUH"
"LYH","3","CLT IAD ORD"
"LYI","34","CAN CGQ CKG CSX CTU DLC DYG FOC HAK HGH HRB HSN INC KHN KIX KMG KWE KWL LXA NGB NNG PVG SHA SHE SWA SYX SZX TFU TYN URC WNZ WUH XIY XMN"
"LYP","0",""
"LYR","5","ENSA MMK OSL QEN TOS"
"LYS","111","AAE ACE ADB ADD AGA AJA ALC ALG AMM AMS ARN ASR ATH AYT BCN BDS BER BEY BIA BIQ BJA BLJ BLL BLQ BOD BRU BSK BUD CAI CFU CHQ CLJ CLY CMN CPH CTA CZL DJE DSS DUB DUS DWC DXB EVN FCO FEZ FLR FNC FRA FSC FUE GVA HAM HER HRG IBZ IST JED KRK KUT LGW LHR LIG LIS LPA LPL LTN LXR MAD MAH MAN MED MIR MLA MUC MXP NAP OPO ORK ORN OSL OTP PFO PRG PRN PUF QSF RAK RBA RHO RMO RNS RUN RVN SAW SID SKP SOF SPU SXB TFS TGD TIA TLM TLV TNG TUN VIE VLC WAW YUL"
"LZG","4","CAN PEK PVG SZX"
"LZH","18","BAR CGO CGQ CKG DLC HAK HFE HGH HRB NGB NKG PEK PVG TAO TFU WUH XIY XMN"
"LZN","3","KHH RMQ TSA"
"LZO","25","CAN CSX DLU FOC HFE HGH HUZ JHG KHN KMG LJG LXA NGB NKG NNG PKX SWA SZX TNA WUH XIC XIY XMN XNN ZUH"
"LZY","8","CAN CKG CTU HFE MIG PEK TFU XIY"
"MAA","46","ADD AMD AUH BAH BKK BLR BOM BWN CCU CMB CNN COK DAC DED DEL DMK DOH DXB FRA GAU GOI HDO HKG HKT HYD IXA IXB IXM JAI KNU KUL KWI LHR LKO MCT MRU PAT PNQ RDP RGN RQY RUN SAG SHJ SIN SXV"
"MAB","3","BEL BSB CNF"
"MAD","178","ACE ADB ADD ALC ALG AMM AMS AOI ARN ASU ASW ATH ATL AUH BCM BCN BEG BEY BIO BKK BLQ BOG BOS BRI BRU BSL BUD BVC CAG CAI CAN CBB CCS CDG CFU CKG CLJ CLO CLT CMN COR CPH CRA CTA CTG CUN DFW DOH DSS DUB DUS DXB EDI EIN ESB EWR EZE FCO FEZ FLR FRA GDL GDN GOA GRU GUA GVA HAV HEL HGH HKG IAD IAS IBZ ICN IST JED JFK JMK JNB JTR KEF KRK KTW KUN KUT KWI LAX LCG LCY LGW LHR LIM LIS LJU LPA LRM LTN LUX LXR LYS MAH MAN MDE MEX MIA MLA MPL MRS MRU MTY MUC MVD MXP NCE NDR NTE OLB ORD ORY OSL OTP OVD PEK PHL PMI PRG PUJ PVG RBA REC RIX RMO RUH SAL SAW SBZ SCL SDQ SFO SID SJO SKP SOF SSG SZX TAS TFN TFU TIA TIV TLS TLV TNG TOS TRN TSF TSR TTU TUN UGC UIO VCE VCP VGO VIE VIT VRN VVI WAW WNZ WRO XPL YHZ YUL YYZ ZAG ZRH"
"MAF","8","AUS DAL DEN DFW HOU IAH LAS PHX"
"MAG","5","LAE MAS POM VAI WWK"
"MAH","70","AGP ALC AMS BCN BER BES BFS BGY BHX BIO BLQ BOD BOH BRS BRU BSL BZO CDG CGN CWL DUS EAS EDI EMA EXT FCO FLR FRA GLA GVA HAJ IBZ LBA LEN LGW LIL LIN LIS LPA LPL LTN LUX LYS MAD MAN MPL MRS MUC MXP NAP NCL NTE NWI OPO ORY OSL OVD PMI PRG STN STR SVQ TLS VCE VIE VLC VRN WAW ZAZ ZRH"
"MAJ","32","AIC AIM AUL BII BNE EAL EBO EJT ENT GUM HNL INU JEJ KIO KSA KWA LML MAV MIJ MJB MJE NDK PNI RNP ROR TKK TRW UIT UJE UTK WTE WTO"
"MAM","2","MEX NLU"
"MAN","143","ABZ ACE ADB ADD AEY AGA AGP ALC ALG AMM AMS ANU ARN ATH ATL AUH AYT BAH BCN BER BFS BGI BGO BGY BHD BJV BLQ BOJ BOM BRU BTS BUD BVC CAI CCF CDG CFU CHQ CMF CMN CPH CTA CUN DAC DBV DEL DLM DOH DUB DUS DXB EFL EGC EXT FAO FCO FNC FRA FUE GCI GNB GOA GOX GRO GVA HAM HEL HER HKG INV ISB IST JED JFK JMK JTR KAO KEF KGS KOI KRK KTT KVA KWI LAS LEI LHE LHR LIG LIS LPA LUX LYS MAD MCO MLB MUC MXP NBE NQY OLB OPO OSL PEK PMI POZ PRG PRO PUJ PVG PVK REU RHO RIX RMU RVN SAW SCR SDR SID SIN SKG SOF SSH STR SUF SVG SZG TFS TIV TLS TOS TRN VIE VLC VRN WRO YYZ ZAD ZAG ZRH ZTH ZYL"
"MAO","32","BAZ BEL BOG BSB BVB CAF CIZ CNF FOR GIG GRU IRZ ITB IUP LBR LIS MBZ MIA MNX PIN PTY PVH RBB RBR REC RPU SJL STM TBT TFF TMT VCP"
"MAQ","1","DMK"
"MAR","7","CCS CGU MUN PMV PTY STB VLN"
"MAS","4","KVG LAE MAG POM"
"MAU","3","BOB PPT RFP"
"MAV","2","AUL MAJ"
"MAY","1","NAS"
"MAZ","1","SJU"
"MBA","24","ADD AMS ASV DAR DXB EBB EDL FCO FRA IST KEU KGL KIS LAU MRE MXP MYD NBO PRG UKA VRN WIL WRO ZNZ"
"MBE","1","HND"
"MBI","1","ZNZ"
"MBJ","44","AMS ATL BHX BOG BOS BWI CLT DFW DTW FLL FRA GCM GLA IAD JFK KIN LGW LHR LIM LIS MAN MCI MCO MDE MDW MKE MSP MXP NAS NEG ORD PHL PTY STL TPA VRN YEG YHZ YQB YUL YWG YYC YYZ ZRH"
"MBL","1","ORD"
"MBQ","3","EBB JIN PAF"
"MBS","2","DTW ORD"
"MBT","2","CEB CRK"
"MBW","2","DPO KNS"
"MBZ","1","MAO"
"MCE","3","HHR LAS LAX"
"MCG","3","MRI NIB TCT"
"MCI","58","ABQ ATL AUS BNA BOS BWI CHS CLT CMH CUN DAL DCA DEN DFW DTW ECP EWR FLL GUF HOU IAD IAH IND JFK LAS LAX LGA MBJ MCO MDW MIA MKE MSP MSY MYR ORD ORF PDX PGD PHL PHX PIE PNS PUJ RDU RSW SAN SAT SAV SEA SFO SJD SLC SMF SRQ STL TPA VPS"
"MCK","1","DEN"
"MCM","1","NCE"
"MCN","3","BWI FLL IAD"
"MCO","164","ABE ALB AMS ATL ATW AUA AUS AVL BDA BDL BGR BHM BNA BOG BOS BQN BRO BSB BTV BUF BWI CAK CDG CID CLE CLT CMH CNF CRW CUN CVG DAL DCA DEN DFW DSM DTW DUB DXB EDI ELP ERI EVV EWN EWR EYW FAR FLL FOR FRA GCM GDL GPT GRR GRU GSO GSP GUA HOU HSV HVN IAD IAH ILG ILM IND ISP JAN JFK KEF LAN LAS LAX LGA LGW LHR LIM LIS LNK LNS MAD MAN MBJ MCI MDE MDW MEM MEX MHT MIA MID MKE MSN MSP MSY MTY MUC MYR NAS OGS OKC OMA ORD ORF PBI PDX PHL PHX PIT PLS PNS POS PSE PSM PTY PUJ PVD PVU PWM QRO RDU REC RIC ROC RSW SAL SAN SAP SAT SBN SBY SCL SDF SDQ SEA SFO SJO SJU SLC SMF SNA SPI SRQ STI STL STT SWF SYR TRI TTN TUL TYS VCP XNA YEG YHM YHZ YOW YQB YUL YVR YWG YYC YYZ"
"MCP","5","BEL BSB GIG GRU OYK"
"MCT","46","ADD AER AHB ALA AMS AUH BAH BGW BOM CAI CGP CNN COK DAC DAM DAR DEL DMM DOH DXB HYD IKA ISB IST KHI MHD MLE MSH MUX NBO NJF PKX RUH SAW SHJ SIN SJJ SPX SYZ TAS TIF TRV TZX VIE ZBR ZYL"
"MCV","1","DRW"
"MCW","1","ORD"
"MCX","39","AER AUH BHK BSZ CEE CEK CSY DME DWC DXB EVN GSV IST JED KJA KRR KZN LED MRV MSQ NBC NMA NNM NUX PEE PES SCO SGC SHJ SVO SVX TAS TJM UFA UGC ULV VKO VOG ZIA"
"MCY","9","ADL AKL BNE CNS DPS EMD MEL SIN SYD"
"MCZ","21","ARU BSB CAC CGH CNF COR CPV EZE GIG GRU JTC LDB LIS PPB RAO REC SJP SSA UBA UDI VCP"
"MDA","0",""
"MDC","27","AMQ BPN BRG CAN CGK DJJ DPS FOC GTO ICN KAZ KMG LAH LKM LUW MNA NAH NGB NKG SIN SOQ SUB SZX TIM TPE TTE UPG"
"MDE","43","ADZ AUA AXM BAQ BGA BLB BOG BON CCS CLO CTG CUC CUN CUR EZE FLL GUA GYE IAH JFK LIM MAD MBJ MCO MEX MIA MTR NLU PAC PEI PSO PTY PUJ SAL SCL SDQ SJO SJU SMR UIO VLN YUL YYZ"
"MDG","11","CAN CKG DLC HGH ICN PEK PVG SHA SZX TAO TFU"
"MDK","3","BNB FIH GMA"
"MDL","30","AKY BKK BMO CNX DMK HEH HFE HGH IMF JJN KET KHM KHN KMG KMV LIW LSH LUM LYI MYT NYT NYU OVB PKK RGN SNW SRU THL TPE YNT"
"MDQ","7","AEP BHI BRC COR MDZ PMY REL"
"MDT","16","ATL BNA BOS CLT DFW DTW FLL IAD JAX MIA MYR ORD PGD PIE SFB SRQ"
"MDW","77","ABQ AGU ALB ATL AUS AVL BHM BJX BNA BOS BUF BUR BWI BZN CHS CLE CLT CMH CUN DAL DCA DFW DGO DSM DTW ECP ELP EWR GDL GEG GRR HOU IAH JAX LAS LAX LGA MCO MEM MIA MKE MLM MSP MYR OAK OKC OMA ONT ORF PGD PHL PHX PIT PSP PUJ PVU PWM RDU RIC ROC SAN SAT SDF SEA SJD SJU SLC SLP SMF SRQ STL TPA TUL TYS VPS YTZ ZCL"
"MDZ","22","AEP AUA BHI BRC COR CRD EZE FLN GIG GRU JUJ LGS LIM MDQ NQN PMY PTY PUJ ROS SCL SLA VCP"
"MEB","2","FLS KNS"
"MEC","2","PTY UIO"
"MED","84","ADB ADD ADU AHB ALA ALG AMM ASB ATZ AUH AWZ AZD BAH BEY BGW BND BOM BTJ BUZ CAI CGK CGP CMN DAC DMM DOH DXB ESB GBT GRV GSM GYD HAS HBE HDM HMB HOF HYD IFN IKA ISB IST JED JWN KAN KBL KER KHI KNO KUL KWI LGW LHE LYP LYS MCT MHD MNL MRS MUX OMH ORY RAK RAS RUH SAW SHJ SKD SKT SPX SRY SSH SUB SYZ TAS TBZ TLS TUN TUU TZX UPG XBJ YIA ZAH"
"MEE","5","GEA LIF NOU TGJ UVE"
"MEH","5","BJF BVG HFT HVG VDS"
"MEL","72","ADL AKL ASP AUH AYQ BKK BME BNE BNK BQB BWN BWT CAN CBR CFS CGK CHC CMB CNS DBO DEL DFW DOH DPO DPS DRW DXB HAK HAN HBA HEL HGH HKG HKT HTI HVB ICN IST KUL LAX LHR LST MCY MGB MLE MNL MQL NAN NKG NRT NTL OAG OOL PEK PER PPP PVG SCL SFO SGN SIN SYD SZX TAO TFU TPE TSV WGA WLG WOL XMN ZQN"
"MEM","36","ATL AUS BNA BOS BWI CLT CUN DAL DCA DEN DFW DTW EWR FLL HOT HRO IAH LAS LAX LGA MCO MDW MIA MSP ORD PHL PHX PIE PNS RDU SAT SFB SLC TPA TYS VPS"
"MEQ","4","BTJ FSH KNO LKI"
"MEU","2","BEL GGF"
"MEX","107","ACA AGU AMS ATL AUS BCN BJX BOG BOS CDG CEN CJS CLO CLT CME CPE CTM CUL CUN CUU CZM DEN DFW DGO DTW DXB EWR EZE FCO FRA GDL GRU GUA HAV HMO HUX IAD IAH ICN IST JFK LAP LAS LAX LHR LIM LMM MAD MAM MCO MDE MGA MIA MID MLM MSP MTT MTY MUC MXL MZT NLD NRT OAK OAX ORD PEK PHL PHX PTY PUJ PVR PXM QRO RDU REX SAL SAP SAT SCL SDQ SEA SFO SJD SJO SLC SLP SMF SZX TAM TAP TGZ TIJ TPA TPQ TQO TRC VER VSA XPL YUL YVR YYC YYZ ZCL ZIH ZLO"
"MFA","4","DAR PMA TGT ZNZ"
"MFE","7","AUS DFW IAH LAS MCO MTY PHX"
"MFJ","1","SUV"
"MFK","1","TSA"
"MFM","49","BKK BOM CEB CGK CKG CZX DAD DEL DMK FOC FUK HAK HAN HFE HGH HYD ICN JJN KHH KHN KIX KOS KTI KUL KWE MNL NGB NKG NNG NRT NTG PEK PKX PUS PVG RMQ SHA SIN TAO TFU TNA TPE TWU TYN VVO WNZ WUH WUX XMN"
"MFN","4","NZTL TEU WKA ZQN"
"MFR","10","DEN LAS LAX PDX PHX SAN SEA SFO SLC SNA"
"MFU","3","LIX LLW LUN"
"MGA","11","BEF GUA HAV IAH MEX MIA PTY PUZ RNI SJO YUL"
"MGB","2","ADL MEL"
"MGF","4","CGH CWB GRU VCP"
"MGM","4","ATL CLT DCA IAH"
"MGQ","15","AAD ADD BIB BSA DXB EBB GGR GLK HGA IST JED JIB KMU MCT NBO"
"MGS","1","RAR"
"MGT","3","DRW GOV MNG"
"MGW","2","IAD ORD"
"MGY","0",""
"MHD","52","ABD ACZ ADU AMD AWZ AZD BEY BGW BND BUZ DEF DMM DOH DXB DYU GBT GSM HDM IFN IIL IST JED JWN KBL KDH KER KHD KHI KIH KSH KWI LFM LHE MCT MRX NJF NSH OMH PGU RAS RZR SAR SAW SHJ SRY SYZ TBZ THR UET XBJ ZAH ZBR"
"MHG","3","EBA GWT HDF"
"MHH","6","ATL CLT FPO MIA NAS PBI"
"MHK","2","DFW ORD"
"MHT","11","BWI CHS CLT DCA FLL IAD MCO MDW ORD PHL RSW"
"MHX","1","RAR"
