"origin","nb_outlinks","outlinks","weights","nb_airlines"
"BAL","0","","","0"
"BAQ","0","","","0"
"BAR","0","","","0"
"BAS","0","","","0"
"BAT","0","","","0"
"BAV","0","","","0"
"BAX","0","","","0"
"BAY","0","","","0"
"BAZ","0","","","0"
"BBA","0","","","0"
"BBG","0","","","0"
"BBI","0","","","0"
"BBK","0","","","0"
"BBL","0","","","0"
"BBN","0","","","0"
"BBO","0","","","0"
"BBQ","0","","","0"
"BBU","0","","","0"
"BCA","0","","","0"
"BCD","0","","","0"
"BCH","0","","","0"
"BCI","0","","","0"
"BCM","0","","","0"
"BCN","0","","","0"
"BCO","0","","","0"
"BCU","0","","","0"
"BDA","1","EWR","1","1"
"BDB","0","","","0"
"BDD","0","","","0"
"BDH","0","","","0"
"BDJ","0","","","0"
"BDL","0","","","0"
"BDO","0","","","0"
"BDP","0","","","0"
"BDQ","0","","","0"
"BDS","0","","","0"
"BDU","0","","","0"
"BEB","2","INV SYY","1 1","1"
"BED","5","BUF CGF CVG MTN SUS","1 1 1 1 1","1"
"BEF","0","","","0"
"BEG","6","AKX IST LEJ LNZ MXP URC","1 1 1 1 1 1","4"
"BEJ","0","","","0"
"BEK","0","","","0"
"BEL","0","","","0"
"BEM","0","","","0"
"BEN","0","","","0"
"BER","7","AMS BRU CDG CGN FRA GDN MUC","1 1 2 1 1 1 1","4"
"BES","0","","","0"
"BET","0","","","0"
"BEU","0","","","0"
"BEW","0","","","0"
"BEY","13","ACC ADD BAH CAI DOH DWC IST KWI LEJ LGG TAS VIE ZAZ","1 1 1 1 1 1 1 1 1 1 1 1 1","8"
"BFD","0","","","0"
"BFF","0","","","0"
"BFI","26","ALW ANC BLI CLM DEN EAT EUG FAR GEG KTN LWS MVW MWH OLM OMK ONT PAE PDX PSC RFD SAC SDF SFF TIW YKM YVR","1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 2 3 1 1 1 1 1 1 2 2","4"
"BFJ","0","","","0"
"BFL","3","BUR ONT SBP","1 2 1","2"
"BFN","0","","","0"
"BFQ","0","","","0"
"BFS","1","EMA","2","2"
"BFV","0","","","0"
"BFX","0","","","0"
"BFY","0","","","0"
"BGA","0","","","0"
"BGC","0","","","0"
"BGF","0","","","0"
"BGG","0","","","0"
"BGI","0","","","0"
"BGIG","0","","","0"
"BGIL","0","","","0"
"BGK","0","","","0"
"BGKA","0","","","0"
"BGKL","0","","","0"
"BGM","0","","","0"
"BGMO","0","","","0"
"BGN","0","","","0"
"BGO","0","","","0"
"BGR","0","","","0"
"BGS","0","","","0"
"BGSQ","0","","","0"
"BGTN","0","","","0"
"BGW","4","BAH CAI DXB GYD","1 1 1 1","4"
"BGY","1","CGN","1","1"
"BHB","0","","","0"
